,ts_date,,t
0,2/8/2023,9:30:00,100.4276908
1,2/8/2023,9:35:00,100.4304413
2,2/8/2023,9:40:00,100.4438252
3,2/8/2023,9:45:00,100.4369304
4,2/8/2023,9:50:00,100.4283139
5,2/8/2023,9:55:00,100.4330041
6,2/8/2023,10:00:00,100.455069
7,2/8/2023,10:05:00,100.4511563
8,2/8/2023,10:10:00,100.4334716
9,2/8/2023,10:15:00,100.4195106
10,2/8/2023,10:20:00,100.4056726
11,2/8/2023,10:25:00,100.4029646
12,2/8/2023,10:30:00,100.4066044
13,2/8/2023,10:35:00,100.4106971
14,2/8/2023,10:40:00,100.3975505
15,2/8/2023,10:45:00,100.4098306
16,2/8/2023,10:50:00,100.4101133
17,2/8/2023,10:55:00,100.4111545
18,2/8/2023,11:00:00,100.3928481
19,2/8/2023,11:05:00,100.4049051
20,2/8/2023,11:10:00,100.3827211
21,2/8/2023,11:15:00,100.3720588
22,2/8/2023,11:20:00,100.3687704
23,2/8/2023,11:25:00,100.3771401
24,2/8/2023,11:30:00,100.375
42,2/8/2023,1:00:00,100.3842916
43,2/8/2023,1:05:00,100.3987388
44,2/8/2023,1:10:00,100.4048827
45,2/8/2023,1:15:00,100.3985281
46,2/8/2023,1:20:00,100.4084293
47,2/8/2023,1:25:00,100.4263469
48,2/8/2023,1:30:00,100.4526928
49,2/8/2023,1:35:00,100.4446055
50,2/8/2023,1:40:00,100.4442597
51,2/8/2023,1:45:00,100.4163255
52,2/8/2023,1:50:00,100.4012413
53,2/8/2023,1:55:00,100.4232482
54,2/8/2023,2:00:00,100.4127219
55,2/8/2023,2:05:00,100.4221078
56,2/8/2023,2:10:00,100.4101102
57,2/8/2023,2:15:00,100.4060545
58,2/8/2023,2:20:00,100.4200871
59,2/8/2023,2:25:00,100.4298925
60,2/8/2023,2:30:00,100.4156813
61,2/8/2023,2:35:00,100.4285326
62,2/8/2023,2:40:00,100.4416499
63,2/8/2023,2:45:00,100.4245844
64,2/8/2023,2:50:00,100.4227687
65,2/8/2023,2:55:00,100.4137902
66,2/8/2023,3:00:00,100.4082692
67,2/8/2023,3:05:00,100.4049538
68,2/8/2023,3:10:00,100.4017439
71,2/8/2023,3:25:00,100.415
