,open_ts_time,open_tf_time,wind_ts_p,wind_tf_p,close_ts_time,close_tf_time,unwind_ts_p,unwind_tf_p,diff_ts,diff_tf,sum
0,2022-10-11 09:40:01,2022-10-11 09:40:00,-101.195,101.655,2022-10-11 09:55:04,2022-10-11 09:55:00,101.19,-101.665,0.0049999999999954525,0.010000000000005116,0.015000000000000568
1,2022-10-11 09:41:02,2022-10-11 09:41:01,-101.19,101.645,2022-10-11 09:55:04,2022-10-11 09:55:00,101.19,-101.665,0.0,0.020000000000010232,0.020000000000010232
2,2022-10-11 09:42:01,2022-10-11 09:42:00,-101.19,101.65,2022-10-11 09:55:04,2022-10-11 09:55:00,101.19,-101.665,0.0,0.015000000000000568,0.015000000000000568
3,2022-10-11 09:43:00,2022-10-11 09:43:00,-101.195,101.65,2022-10-11 09:55:04,2022-10-11 09:55:00,101.19,-101.665,0.0049999999999954525,0.015000000000000568,0.01999999999999602
4,2022-10-11 09:44:02,2022-10-11 09:44:00,-101.195,101.65,2022-10-11 09:55:04,2022-10-11 09:55:00,101.19,-101.665,0.0049999999999954525,0.015000000000000568,0.01999999999999602
5,2022-10-11 09:45:00,2022-10-11 09:45:00,-101.195,101.655,2022-10-11 09:55:04,2022-10-11 09:55:00,101.19,-101.665,0.0049999999999954525,0.010000000000005116,0.015000000000000568
6,2022-10-11 09:50:00,2022-10-11 09:50:00,101.195,-101.68,2022-10-11 09:55:04,2022-10-11 09:55:00,-101.195,101.66,0.0,0.020000000000010232,0.020000000000010232
7,2022-10-11 09:51:00,2022-10-11 09:51:00,101.19,-101.67,2022-10-11 09:55:04,2022-10-11 09:55:00,-101.195,101.66,0.0049999999999954525,0.010000000000005116,0.015000000000000568
8,2022-10-11 09:52:01,2022-10-11 09:52:00,101.19,-101.67,2022-10-11 09:55:04,2022-10-11 09:55:00,-101.195,101.66,0.0049999999999954525,0.010000000000005116,0.015000000000000568
9,2022-10-11 09:53:00,2022-10-11 09:53:00,101.19,-101.665,2022-10-11 09:55:04,2022-10-11 09:55:00,-101.195,101.66,0.0049999999999954525,0.005000000000009663,0.010000000000005116
10,2022-10-11 09:54:02,2022-10-11 09:54:00,101.185,-101.66,2022-10-11 09:55:04,2022-10-11 09:55:00,-101.195,101.66,0.009999999999990905,0.0,0.009999999999990905
11,2022-10-11 09:57:01,2022-10-11 09:57:00,-101.195,101.655,2022-10-11 10:32:03,2022-10-11 10:32:03,101.175,-101.635,0.01999999999999602,-0.01999999999999602,0.0
12,2022-10-11 09:58:01,2022-10-11 09:58:01,-101.195,101.655,2022-10-11 10:32:03,2022-10-11 10:32:03,101.175,-101.635,0.01999999999999602,-0.01999999999999602,0.0
13,2022-10-11 09:59:00,2022-10-11 09:59:01,-101.195,101.655,2022-10-11 10:32:03,2022-10-11 10:32:03,101.175,-101.635,0.01999999999999602,-0.01999999999999602,0.0
14,2022-10-11 10:00:00,2022-10-11 10:00:00,-101.195,101.655,2022-10-11 10:32:03,2022-10-11 10:32:03,101.175,-101.635,0.01999999999999602,-0.01999999999999602,0.0
15,2022-10-11 10:01:00,2022-10-11 10:01:00,-101.185,101.645,2022-10-11 10:32:03,2022-10-11 10:32:03,101.175,-101.635,0.010000000000005116,-0.009999999999990905,1.4210854715202004e-14
16,2022-10-11 10:02:00,2022-10-11 10:02:00,-101.185,101.635,2022-10-11 10:32:03,2022-10-11 10:32:03,101.175,-101.635,0.010000000000005116,0.0,0.010000000000005116
