,open_ts_time,open_t_time,wind_ts_p,wind_t_p,close_ts_time,close_t_time,unwind_ts_p,unwind_t_p,diff_ts,diff_t,sum
0,2022-10-12 09:42:00,2022-10-12 09:42:00,101.145,-100.865,2022-10-12 10:10:00,2022-10-12 10:10:02,-101.155,100.88,0.010000000000005116,-0.015000000000000568,-0.0049999999999954525
1,2022-10-12 09:43:00,2022-10-12 09:43:00,101.155,-100.88,2022-10-12 10:10:00,2022-10-12 10:10:02,-101.155,100.88,0.0,0.0,0.0
2,2022-10-12 09:44:00,2022-10-12 09:44:00,101.15,-100.88,2022-10-12 10:10:00,2022-10-12 10:10:02,-101.155,100.88,0.0049999999999954525,0.0,0.0049999999999954525
3,2022-10-12 09:45:00,2022-10-12 09:45:00,101.155,-100.885,2022-10-12 10:10:00,2022-10-12 10:10:02,-101.155,100.88,0.0,0.005000000000009663,0.005000000000009663
4,2022-10-12 09:46:12,2022-10-12 09:46:02,101.16,-100.89,2022-10-12 10:10:00,2022-10-12 10:10:02,-101.155,100.88,-0.0049999999999954525,0.010000000000005116,0.005000000000009663
5,2022-10-12 09:47:07,2022-10-12 09:47:00,101.155,-100.885,2022-10-12 10:10:00,2022-10-12 10:10:02,-101.155,100.88,0.0,0.005000000000009663,0.005000000000009663
6,2022-10-12 09:48:00,2022-10-12 09:48:00,101.155,-100.88,2022-10-12 10:10:00,2022-10-12 10:10:02,-101.155,100.88,0.0,0.0,0.0
7,2022-10-12 09:49:03,2022-10-12 09:49:00,101.155,-100.88,2022-10-12 10:10:00,2022-10-12 10:10:02,-101.155,100.88,0.0,0.0,0.0
8,2022-10-12 09:50:04,2022-10-12 09:50:00,101.15,-100.87,2022-10-12 10:10:00,2022-10-12 10:10:02,-101.155,100.88,0.0049999999999954525,-0.009999999999990905,-0.0049999999999954525
9,2022-10-12 09:55:02,2022-10-12 09:55:00,101.155,-100.895,2022-10-12 10:10:00,2022-10-12 10:10:02,-101.155,100.88,0.0,0.015000000000000568,0.015000000000000568
10,2022-10-12 09:56:00,2022-10-12 09:56:00,101.155,-100.905,2022-10-12 10:10:00,2022-10-12 10:10:02,-101.155,100.88,0.0,0.025000000000005684,0.025000000000005684
11,2022-10-12 09:57:00,2022-10-12 09:57:00,101.16,-100.905,2022-10-12 10:10:00,2022-10-12 10:10:02,-101.155,100.88,-0.0049999999999954525,0.025000000000005684,0.020000000000010232
12,2022-10-12 09:58:00,2022-10-12 09:58:00,101.16,-100.915,2022-10-12 10:10:00,2022-10-12 10:10:02,-101.155,100.88,-0.0049999999999954525,0.0350000000000108,0.030000000000015348
13,2022-10-12 09:59:07,2022-10-12 09:59:00,101.155,-100.905,2022-10-12 10:10:00,2022-10-12 10:10:02,-101.155,100.88,0.0,0.025000000000005684,0.025000000000005684
14,2022-10-12 10:00:01,2022-10-12 10:00:00,101.155,-100.9,2022-10-12 10:10:00,2022-10-12 10:10:02,-101.155,100.88,0.0,0.020000000000010232,0.020000000000010232
15,2022-10-12 10:01:00,2022-10-12 10:01:00,101.15,-100.89,2022-10-12 10:10:00,2022-10-12 10:10:02,-101.155,100.88,0.0049999999999954525,0.010000000000005116,0.015000000000000568
16,2022-10-12 10:04:02,2022-10-12 10:04:02,-101.155,100.88,2022-10-12 10:10:00,2022-10-12 10:10:02,101.15,-100.885,0.0049999999999954525,0.005000000000009663,0.010000000000005116
17,2022-10-12 10:05:06,2022-10-12 10:05:00,-101.16,100.89,2022-10-12 10:10:00,2022-10-12 10:10:02,101.15,-100.885,0.009999999999990905,-0.0049999999999954525,0.0049999999999954525
18,2022-10-12 10:06:00,2022-10-12 10:06:00,-101.155,100.89,2022-10-12 10:10:00,2022-10-12 10:10:02,101.15,-100.885,0.0049999999999954525,-0.0049999999999954525,0.0
19,2022-10-12 10:07:00,2022-10-12 10:07:00,-101.16,100.89,2022-10-12 10:10:00,2022-10-12 10:10:02,101.15,-100.885,0.009999999999990905,-0.0049999999999954525,0.0049999999999954525
20,2022-10-12 10:19:00,2022-10-12 10:19:00,-101.155,100.88,2022-10-12 11:22:01,2022-10-12 11:22:03,101.14,-100.89,0.015000000000000568,0.010000000000005116,0.025000000000005684
21,2022-10-12 10:20:07,2022-10-12 10:20:02,-101.155,100.87,2022-10-12 11:22:01,2022-10-12 11:22:03,101.14,-100.89,0.015000000000000568,0.01999999999999602,0.03499999999999659
22,2022-10-12 10:21:04,2022-10-12 10:21:01,-101.155,100.865,2022-10-12 11:22:01,2022-10-12 11:22:03,101.14,-100.89,0.015000000000000568,0.025000000000005684,0.04000000000000625
23,2022-10-12 10:22:00,2022-10-12 10:22:01,-101.15,100.865,2022-10-12 11:22:01,2022-10-12 11:22:03,101.14,-100.89,0.010000000000005116,0.025000000000005684,0.0350000000000108
24,2022-10-12 10:23:03,2022-10-12 10:23:00,-101.15,100.865,2022-10-12 11:22:01,2022-10-12 11:22:03,101.14,-100.89,0.010000000000005116,0.025000000000005684,0.0350000000000108
25,2022-10-12 10:24:05,2022-10-12 10:24:01,-101.155,100.865,2022-10-12 11:22:01,2022-10-12 11:22:03,101.14,-100.89,0.015000000000000568,0.025000000000005684,0.04000000000000625
26,2022-10-12 10:25:12,2022-10-12 10:25:00,-101.155,100.87,2022-10-12 11:22:01,2022-10-12 11:22:03,101.14,-100.89,0.015000000000000568,0.01999999999999602,0.03499999999999659
27,2022-10-12 10:26:00,2022-10-12 10:26:00,-101.155,100.86,2022-10-12 11:22:01,2022-10-12 11:22:03,101.14,-100.89,0.015000000000000568,0.030000000000001137,0.045000000000001705
28,2022-10-12 10:28:01,2022-10-12 10:28:05,-101.15,100.86,2022-10-12 11:22:01,2022-10-12 11:22:03,101.14,-100.89,0.010000000000005116,0.030000000000001137,0.04000000000000625
29,2022-10-12 10:29:01,2022-10-12 10:29:00,-101.15,100.86,2022-10-12 11:22:01,2022-10-12 11:22:03,101.14,-100.89,0.010000000000005116,0.030000000000001137,0.04000000000000625
30,2022-10-12 10:30:00,2022-10-12 10:30:00,-101.15,100.87,2022-10-12 11:22:01,2022-10-12 11:22:03,101.14,-100.89,0.010000000000005116,0.01999999999999602,0.030000000000001137
31,2022-10-12 10:33:00,2022-10-12 10:33:00,101.145,-100.875,2022-10-12 11:22:01,2022-10-12 11:22:03,-101.145,100.885,0.0,-0.010000000000005116,-0.010000000000005116
32,2022-10-12 10:34:00,2022-10-12 10:34:00,101.145,-100.8825,2022-10-12 11:22:01,2022-10-12 11:22:03,-101.145,100.885,0.0,-0.002500000000011937,-0.002500000000011937
33,2022-10-12 10:35:12,2022-10-12 10:35:00,101.15,-100.88,2022-10-12 11:22:01,2022-10-12 11:22:03,-101.145,100.885,-0.005000000000009663,-0.005000000000009663,-0.010000000000019327
34,2022-10-12 10:36:12,2022-10-12 10:36:03,101.15,-100.88,2022-10-12 11:22:01,2022-10-12 11:22:03,-101.145,100.885,-0.005000000000009663,-0.005000000000009663,-0.010000000000019327
35,2022-10-12 10:37:00,2022-10-12 10:37:00,101.15,-100.885,2022-10-12 11:22:01,2022-10-12 11:22:03,-101.145,100.885,-0.005000000000009663,0.0,-0.005000000000009663
36,2022-10-12 10:38:00,2022-10-12 10:38:01,101.15,-100.89,2022-10-12 11:22:01,2022-10-12 11:22:03,-101.145,100.885,-0.005000000000009663,0.0049999999999954525,-1.4210854715202004e-14
