,open_ts_time,open_tf_time,open_t_time,wind_ts_p,wind_tf_p,wind_t_p,close_ts_time,close_tf_time,close_t_time,unwind_ts_p,unwind_tf_p,unwind_t_p,diff_ts,diff_tf,diff_t,sum-2-3-1
0,2022-10-20 09:40:00,2022-10-20 09:40:00,2022-10-20 09:40:00,101.245,101.885,101.32,2022-10-20 09:42:00,2022-10-20 09:42:00,2022-10-20 09:42:00,101.25,101.875,101.3175,0.0049999999999954525,0.010000000000005116,-0.0024999999999977263,750.0000000001705
1,2022-10-20 09:44:00,2022-10-20 09:44:00,2022-10-20 09:44:00,101.235,101.87,101.295,2022-10-20 09:53:04,2022-10-20 09:53:01,2022-10-20 09:53:01,101.235,101.865,101.3,0.0,0.005000000000009663,0.0049999999999954525,400.00000000048885
2,2022-10-20 09:45:00,2022-10-20 09:45:00,2022-10-20 09:45:00,101.235,101.87,101.295,2022-10-20 09:55:02,2022-10-20 09:55:00,2022-10-20 09:55:04,101.24,101.865,101.3,0.0049999999999954525,0.005000000000009663,0.0049999999999954525,600.000000000307
3,2022-10-20 09:46:00,2022-10-20 09:46:00,2022-10-20 09:46:00,101.23,101.87,101.295,2022-10-20 10:09:01,2022-10-20 10:09:00,2022-10-20 10:09:00,101.24,101.865,101.295,0.009999999999990905,0.005000000000009663,0.0,700.000000000216
4,2022-10-20 09:47:00,2022-10-20 09:47:00,2022-10-20 09:47:01,101.23,101.87,101.29,2022-10-20 10:18:02,2022-10-20 10:18:00,2022-10-20 10:18:00,101.23,101.845,101.265,0.0,0.025000000000005684,-0.025000000000005684,1000.0000000002274
5,2022-10-20 09:54:01,2022-10-20 09:54:01,2022-10-20 09:54:01,101.23,101.87,101.295,2022-10-20 10:19:00,2022-10-20 10:19:00,2022-10-20 10:19:00,101.23,101.84,101.26,0.0,0.030000000000001137,-0.03499999999999659,1100.0000000001364
6,2022-10-20 09:58:01,2022-10-20 09:58:01,2022-10-20 09:58:00,101.235,101.87,101.295,2022-10-20 10:21:00,2022-10-20 10:21:00,2022-10-20 10:21:00,101.23,101.85,101.265,-0.0049999999999954525,0.020000000000010232,-0.030000000000001137,400.00000000077307
7,2022-10-20 10:00:00,2022-10-20 10:00:00,2022-10-20 10:00:00,101.235,101.875,101.305,2022-10-20 10:22:01,2022-10-20 10:22:00,2022-10-20 10:22:00,101.23,101.845,101.265,-0.0049999999999954525,0.030000000000001137,-0.04000000000000625,800.000000000125
8,2022-10-20 10:01:05,2022-10-20 10:01:04,2022-10-20 10:01:01,101.24,101.885,101.31,2022-10-20 10:24:02,2022-10-20 10:24:01,2022-10-20 10:24:01,101.23,101.845,101.265,-0.009999999999990905,0.04000000000000625,-0.045000000000001705,1100.0000000007049
9,2022-10-20 10:03:01,2022-10-20 10:03:01,2022-10-20 10:03:00,101.24,101.885,101.31,2022-10-20 10:26:01,2022-10-20 10:26:02,2022-10-20 10:26:02,101.23,101.84,101.2625,-0.009999999999990905,0.045000000000001705,-0.04749999999999943,1350.0000000004775
10,2022-10-20 10:08:06,2022-10-20 10:08:00,2022-10-20 10:08:00,101.235,101.875,101.295,2022-10-20 10:27:00,2022-10-20 10:27:00,2022-10-20 10:27:00,101.23,101.84,101.255,-0.0049999999999954525,0.03499999999999659,-0.04000000000000625,1099.9999999998522
11,2022-10-20 10:12:08,2022-10-20 10:12:00,2022-10-20 10:12:00,101.235,101.87,101.285,2022-10-20 10:28:03,2022-10-20 10:28:01,2022-10-20 10:28:01,101.23,101.835,101.255,-0.0049999999999954525,0.0350000000000108,-0.030000000000001137,1300.0000000008072
12,2022-10-20 10:13:00,2022-10-20 10:13:07,2022-10-20 10:13:00,101.23,101.865,101.275,2022-10-20 10:29:01,2022-10-20 10:29:03,2022-10-20 10:29:04,101.225,101.83,101.24,-0.005000000000009663,0.03499999999999659,-0.0350000000000108,1199.9999999991928
13,2022-10-20 10:15:01,2022-10-20 10:15:00,2022-10-20 10:15:00,101.23,101.86,101.27,2022-10-20 10:37:13,2022-10-20 10:37:03,2022-10-20 10:37:01,101.235,101.835,101.25,0.0049999999999954525,0.025000000000005684,-0.01999999999999602,1300.0000000002387
14,2022-10-20 10:16:05,2022-10-20 10:16:00,2022-10-20 10:16:01,101.225,101.86,101.27,2022-10-20 10:39:00,2022-10-20 10:39:00,2022-10-20 10:39:00,101.235,101.835,101.245,0.010000000000005116,0.025000000000005684,-0.024999999999991473,1400.0000000007162
15,2022-10-20 10:40:02,2022-10-20 10:40:03,2022-10-20 10:40:02,101.23,101.84,101.23,2022-10-20 10:42:12,2022-10-20 10:42:11,2022-10-20 10:42:00,101.235,101.835,101.245,0.0049999999999954525,0.005000000000009663,0.015000000000000568,800.0000000004093
16,2022-10-20 10:43:00,2022-10-20 10:43:01,2022-10-20 10:43:01,101.23,101.84,101.24,2022-10-20 11:03:00,2022-10-20 11:03:00,2022-10-20 11:03:00,101.24,101.855,101.27,0.009999999999990905,-0.015000000000000568,0.030000000000001137,99.99999999962483
17,2022-10-20 10:44:06,2022-10-20 10:44:01,2022-10-20 10:44:00,101.23,101.845,101.24,2022-10-20 11:04:28,2022-10-20 11:04:00,2022-10-20 11:04:00,101.24,101.855,101.265,0.009999999999990905,-0.010000000000005116,0.025000000000005684,299.99999999944293
18,2022-10-20 10:45:00,2022-10-20 10:45:00,2022-10-20 10:45:00,101.23,101.845,101.235,2022-10-20 11:05:10,2022-10-20 11:05:00,2022-10-20 11:05:00,101.235,101.85,101.265,0.0049999999999954525,-0.0049999999999954525,0.030000000000001137,500.0000000001137
19,2022-10-20 10:46:00,2022-10-20 10:46:00,2022-10-20 10:46:00,101.23,101.85,101.245,2022-10-20 11:10:05,2022-10-20 11:10:02,2022-10-20 11:10:01,101.235,101.845,101.25,0.0049999999999954525,0.0049999999999954525,0.0049999999999954525,599.9999999994543
20,2022-10-20 10:47:06,2022-10-20 10:47:02,2022-10-20 10:47:07,101.235,101.855,101.255,2022-10-20 11:11:05,2022-10-20 11:11:00,2022-10-20 11:11:00,101.235,101.845,101.255,0.0,0.010000000000005116,0.0,600.000000000307
21,2022-10-20 10:48:00,2022-10-20 10:48:00,2022-10-20 10:48:00,101.235,101.855,101.255,2022-10-20 11:12:00,2022-10-20 11:12:10,2022-10-20 11:12:00,101.235,101.845,101.255,0.0,0.010000000000005116,0.0,600.000000000307
22,2022-10-20 10:49:23,2022-10-20 10:49:00,2022-10-20 10:49:01,101.235,101.855,101.255,2022-10-20 11:13:00,2022-10-20 11:13:00,2022-10-20 11:13:01,101.235,101.84,101.255,0.0,0.015000000000000568,0.0,900.0000000000341
23,2022-10-20 10:53:05,2022-10-20 10:53:00,2022-10-20 10:53:00,101.235,101.855,101.255,2022-10-20 11:14:19,2022-10-20 11:14:09,2022-10-20 11:14:00,101.235,101.84,101.255,0.0,0.015000000000000568,0.0,900.0000000000341
24,2022-10-20 10:55:04,2022-10-20 10:55:00,2022-10-20 10:55:00,101.235,101.865,101.265,2022-10-20 11:15:00,2022-10-20 11:15:00,2022-10-20 11:15:05,101.235,101.84,101.25,0.0,0.024999999999991473,-0.015000000000000568,1199.999999999477
25,2022-10-20 10:56:00,2022-10-20 10:56:00,2022-10-20 10:56:00,101.235,101.86,101.26,2022-10-20 11:16:22,2022-10-20 11:16:01,2022-10-20 11:16:03,101.235,101.835,101.245,0.0,0.025000000000005684,-0.015000000000000568,1200.0000000003297
26,2022-10-20 11:06:00,2022-10-20 11:06:00,2022-10-20 11:06:00,101.23,101.855,101.255,2022-10-20 11:17:01,2022-10-20 11:17:01,2022-10-20 11:17:00,101.235,101.835,101.24,0.0049999999999954525,0.020000000000010232,-0.015000000000000568,1100.0000000004206
27,2022-10-20 11:25:00,2022-10-20 11:25:09,2022-10-20 11:25:00,101.23,101.84,101.235,2022-10-20 13:12:12,2022-10-20 13:12:00,2022-10-20 13:12:00,101.21,101.785,101.14,-0.020000000000010232,0.05500000000000682,-0.09499999999999886,600.0000000000227
28,2022-10-20 11:26:00,2022-10-20 11:26:00,2022-10-20 11:26:01,101.23,101.84,101.23,2022-10-20 13:13:06,2022-10-20 13:13:01,2022-10-20 13:13:00,101.205,101.775,101.13,-0.025000000000005684,0.06499999999999773,-0.10000000000000853,899.9999999994657
29,2022-10-20 13:00:00,2022-10-20 13:00:00,2022-10-20 13:00:00,101.215,101.815,101.17,2022-10-20 13:18:05,2022-10-20 13:18:00,2022-10-20 13:18:00,101.215,101.785,101.13,0.0,0.030000000000001137,-0.04000000000000625,999.9999999999432
30,2022-10-20 13:01:00,2022-10-20 13:01:00,2022-10-20 13:01:00,101.22,101.825,101.195,2022-10-20 13:19:02,2022-10-20 13:19:00,2022-10-20 13:19:01,101.215,101.79,101.135,-0.0049999999999954525,0.03499999999999659,-0.05999999999998806,700.000000000216
31,2022-10-20 13:02:00,2022-10-20 13:02:00,2022-10-20 13:02:00,101.205,101.795,101.135,2022-10-20 13:20:02,2022-10-20 13:20:00,2022-10-20 13:20:00,101.22,101.795,101.15,0.015000000000000568,0.0,0.015000000000000568,900.0000000000341
32,2022-10-20 13:03:03,2022-10-20 13:03:00,2022-10-20 13:03:00,101.205,101.795,101.14,2022-10-20 13:21:00,2022-10-20 13:21:00,2022-10-20 13:21:00,101.22,101.795,101.145,0.015000000000000568,0.0,0.0049999999999954525,699.9999999999318
33,2022-10-20 13:05:02,2022-10-20 13:05:00,2022-10-20 13:05:00,101.215,101.81,101.165,2022-10-20 13:22:01,2022-10-20 13:22:00,2022-10-20 13:22:00,101.22,101.795,101.15,0.0049999999999954525,0.015000000000000568,-0.015000000000000568,799.9999999998408
34,2022-10-20 13:08:00,2022-10-20 13:08:00,2022-10-20 13:08:00,101.21,101.805,101.15,2022-10-20 13:24:01,2022-10-20 13:24:01,2022-10-20 13:24:01,101.215,101.79,101.145,0.005000000000009663,0.015000000000000568,-0.005000000000009663,1000.0000000002274
35,2022-10-20 13:10:00,2022-10-20 13:10:00,2022-10-20 13:10:00,101.205,101.8,101.14,2022-10-20 13:25:00,2022-10-20 13:25:00,2022-10-20 13:25:00,101.22,101.795,101.16,0.015000000000000568,0.0049999999999954525,0.01999999999999602,1299.9999999996703
36,2022-10-20 13:15:00,2022-10-20 13:15:00,2022-10-20 13:15:00,101.2,101.775,101.1,2022-10-20 13:27:01,2022-10-20 13:27:01,2022-10-20 13:27:00,101.22,101.8,101.165,0.01999999999999602,-0.024999999999991473,0.06500000000001194,600.0000000005912
37,2022-10-20 13:34:05,2022-10-20 13:34:00,2022-10-20 13:34:02,101.215,101.805,101.16,2022-10-20 13:38:02,2022-10-20 13:38:00,2022-10-20 13:38:02,101.22,101.795,101.16,0.0049999999999954525,0.010000000000005116,0.0,800.000000000125
38,2022-10-20 13:49:01,2022-10-20 13:49:01,2022-10-20 13:49:01,101.225,101.82,101.185,2022-10-20 13:51:36,2022-10-20 13:51:00,2022-10-20 13:51:00,101.23,101.805,101.185,0.005000000000009663,0.014999999999986358,0.0,1099.999999999568
39,2022-10-20 13:52:01,2022-10-20 13:52:00,2022-10-20 13:52:00,101.22,101.81,101.165,2022-10-20 14:14:02,2022-10-20 14:14:02,2022-10-20 14:14:00,101.215,101.8,101.17,-0.0049999999999954525,0.010000000000005116,0.0049999999999954525,500.0000000003979
40,2022-10-20 13:56:01,2022-10-20 13:56:03,2022-10-20 13:56:00,101.22,101.81,101.17,2022-10-20 14:19:06,2022-10-20 14:19:00,2022-10-20 14:19:00,101.215,101.805,101.175,-0.0049999999999954525,0.0049999999999954525,0.0049999999999954525,199.9999999998181
41,2022-10-20 13:58:12,2022-10-20 13:58:00,2022-10-20 13:58:01,101.215,101.8,101.155,2022-10-20 14:20:00,2022-10-20 14:20:00,2022-10-20 14:20:00,101.22,101.81,101.19,0.0049999999999954525,-0.010000000000005116,0.03499999999999659,299.99999999944293
42,2022-10-20 14:01:20,2022-10-20 14:01:01,2022-10-20 14:01:01,101.21,101.795,101.145,2022-10-20 14:21:00,2022-10-20 14:21:00,2022-10-20 14:21:00,101.22,101.81,101.185,0.010000000000005116,-0.015000000000000568,0.04000000000000625,300.0000000002956
43,2022-10-20 14:03:00,2022-10-20 14:03:00,2022-10-20 14:03:01,101.21,101.8,101.145,2022-10-20 14:22:14,2022-10-20 14:22:07,2022-10-20 14:22:00,101.22,101.815,101.19,0.010000000000005116,-0.015000000000000568,0.045000000000001705,400.00000000020464
44,2022-10-20 14:04:02,2022-10-20 14:04:04,2022-10-20 14:04:00,101.21,101.8,101.155,2022-10-20 14:23:00,2022-10-20 14:23:00,2022-10-20 14:23:00,101.22,101.81,101.19,0.010000000000005116,-0.010000000000005116,0.03499999999999659,499.99999999982947
45,2022-10-20 14:05:00,2022-10-20 14:05:01,2022-10-20 14:05:00,101.205,101.8,101.15,2022-10-20 14:24:35,2022-10-20 14:24:00,2022-10-20 14:24:03,101.215,101.81,101.19,0.010000000000005116,-0.010000000000005116,0.03999999999999204,599.9999999997385
46,2022-10-20 14:08:05,2022-10-20 14:08:01,2022-10-20 14:08:00,101.205,101.805,101.16,2022-10-20 14:25:23,2022-10-20 14:25:00,2022-10-20 14:25:00,101.215,101.805,101.185,0.010000000000005116,0.0,0.025000000000005684,900.0000000003183
47,2022-10-20 14:10:00,2022-10-20 14:10:00,2022-10-20 14:10:00,101.21,101.805,101.16,2022-10-20 14:26:04,2022-10-20 14:26:00,2022-10-20 14:26:01,101.21,101.795,101.17,0.0,0.010000000000005116,0.010000000000005116,800.0000000004093
48,2022-10-20 14:11:17,2022-10-20 14:11:02,2022-10-20 14:11:01,101.205,101.8,101.155,2022-10-20 14:27:01,2022-10-20 14:27:00,2022-10-20 14:27:01,101.21,101.79,101.17,0.0049999999999954525,0.009999999999990905,0.015000000000000568,1099.9999999992838
49,2022-10-20 14:13:02,2022-10-20 14:13:00,2022-10-20 14:13:01,101.21,101.805,101.165,2022-10-20 14:28:00,2022-10-20 14:28:03,2022-10-20 14:28:00,101.21,101.79,101.165,0.0,0.015000000000000568,0.0,900.0000000000341
50,2022-10-20 14:18:29,2022-10-20 14:18:02,2022-10-20 14:18:02,101.21,101.81,101.17,2022-10-20 14:58:02,2022-10-20 14:58:00,2022-10-20 14:58:00,101.225,101.835,101.205,0.015000000000000568,-0.024999999999991473,0.03499999999999659,-199.99999999953388
51,2022-10-20 14:34:00,2022-10-20 14:34:01,2022-10-20 14:34:01,101.205,101.805,101.17,2022-10-20 14:58:02,2022-10-20 14:58:00,2022-10-20 14:58:00,101.225,101.835,101.205,0.01999999999999602,-0.029999999999986926,0.03499999999999659,-299.99999999944293
52,2022-10-20 14:37:04,2022-10-20 14:37:02,2022-10-20 14:37:00,101.21,101.805,101.17,2022-10-20 14:58:02,2022-10-20 14:58:00,2022-10-20 14:58:00,101.225,101.835,101.205,0.015000000000000568,-0.029999999999986926,0.03499999999999659,-499.99999999926104
53,2022-10-20 14:38:00,2022-10-20 14:38:00,2022-10-20 14:38:04,101.21,101.81,101.17,2022-10-20 14:58:02,2022-10-20 14:58:00,2022-10-20 14:58:00,101.225,101.835,101.205,0.015000000000000568,-0.024999999999991473,0.03499999999999659,-199.99999999953388
54,2022-10-20 14:39:00,2022-10-20 14:39:00,2022-10-20 14:39:00,101.21,101.81,101.18,2022-10-20 14:58:02,2022-10-20 14:58:00,2022-10-20 14:58:00,101.225,101.835,101.205,0.015000000000000568,-0.024999999999991473,0.024999999999991473,-399.9999999996362
55,2022-10-20 14:40:01,2022-10-20 14:40:00,2022-10-20 14:40:00,101.21,101.815,101.185,2022-10-20 14:58:02,2022-10-20 14:58:00,2022-10-20 14:58:00,101.225,101.835,101.205,0.015000000000000568,-0.01999999999999602,0.01999999999999602,-199.9999999998181
56,2022-10-20 14:42:03,2022-10-20 14:42:00,2022-10-20 14:42:00,101.21,101.81,101.175,2022-10-20 14:58:02,2022-10-20 14:58:00,2022-10-20 14:58:00,101.225,101.835,101.205,0.015000000000000568,-0.024999999999991473,0.030000000000001137,-299.99999999944293
57,2022-10-20 14:43:01,2022-10-20 14:43:00,2022-10-20 14:43:02,101.21,101.81,101.175,2022-10-20 14:58:02,2022-10-20 14:58:00,2022-10-20 14:58:00,101.225,101.835,101.205,0.015000000000000568,-0.024999999999991473,0.030000000000001137,-299.99999999944293
58,2022-10-20 14:44:05,2022-10-20 14:44:00,2022-10-20 14:44:00,101.21,101.81,101.18,2022-10-20 14:58:02,2022-10-20 14:58:00,2022-10-20 14:58:00,101.225,101.835,101.205,0.015000000000000568,-0.024999999999991473,0.024999999999991473,-399.9999999996362
