,open_ts_time,open_tf_time,open_t_time,wind_ts_p,wind_tf_p,wind_t_p,close_ts_time,close_tf_time,close_t_time,unwind_ts_p,unwind_tf_p,unwind_t_p,diff_ts,diff_tf,diff_t,sum-2-3-1
0,2022-10-20 09:53:04,2022-10-20 09:53:01,2022-10-20 09:53:01,101.235,101.86,101.295,2022-10-20 09:54:01,2022-10-20 09:54:01,2022-10-20 09:54:01,101.23,101.87,101.295,0.0049999999999954525,0.010000000000005116,-0.060000000000002274,-399.9999999999204
1,2022-10-20 09:55:02,2022-10-20 09:55:00,2022-10-20 09:55:04,101.235,101.865,101.295,2022-10-20 09:58:01,2022-10-20 09:58:01,2022-10-20 09:58:00,101.235,101.87,101.295,0.0,0.005000000000009663,-0.060000000000002274,-899.9999999994657
2,2022-10-20 10:18:02,2022-10-20 10:18:00,2022-10-20 10:18:00,101.23,101.85,101.265,2022-10-20 10:40:02,2022-10-20 10:40:03,2022-10-20 10:40:02,101.23,101.84,101.235,0.0,-0.009999999999990905,-0.0049999999999954525,-699.9999999993634
3,2022-10-20 10:19:00,2022-10-20 10:19:00,2022-10-20 10:19:00,101.23,101.84,101.26,2022-10-20 10:43:00,2022-10-20 10:43:01,2022-10-20 10:43:01,101.23,101.84,101.24,0.0,0.0,-0.009999999999990905,-199.9999999998181
4,2022-10-20 10:26:01,2022-10-20 10:26:02,2022-10-20 10:26:02,101.23,101.845,101.26,2022-10-20 10:44:06,2022-10-20 10:44:01,2022-10-20 10:44:00,101.23,101.845,101.24,0.0,0.0,-0.009999999999990905,-199.9999999998181
5,2022-10-20 10:27:00,2022-10-20 10:27:00,2022-10-20 10:27:00,101.23,101.84,101.2625,2022-10-20 10:45:00,2022-10-20 10:45:00,2022-10-20 10:45:00,101.23,101.845,101.235,0.0,0.0049999999999954525,-0.0049999999999954525,199.9999999998181
6,2022-10-20 10:28:03,2022-10-20 10:28:01,2022-10-20 10:28:01,101.23,101.835,101.255,2022-10-20 10:46:00,2022-10-20 10:46:00,2022-10-20 10:46:00,101.23,101.85,101.245,0.0,0.015000000000000568,-0.015000000000000568,600.0000000000227
7,2022-10-20 10:29:01,2022-10-20 10:29:03,2022-10-20 10:29:04,101.23,101.835,101.255,2022-10-20 10:47:06,2022-10-20 10:47:02,2022-10-20 10:47:07,101.23,101.855,101.25,0.0,0.020000000000010232,-0.01999999999999602,800.0000000006935
8,2022-10-20 11:03:00,2022-10-20 11:03:00,2022-10-20 11:03:00,101.24,101.855,101.27,2022-10-20 11:06:00,2022-10-20 11:06:00,2022-10-20 11:06:00,101.23,101.855,101.255,0.009999999999990905,0.0,-0.015000000000000568,99.99999999962483
9,2022-10-20 11:13:00,2022-10-20 11:13:00,2022-10-20 11:13:01,101.235,101.84,101.25,2022-10-20 11:25:00,2022-10-20 11:25:09,2022-10-20 11:25:00,101.23,101.84,101.235,0.0049999999999954525,0.0,0.0,199.9999999998181
