,open_ts_time,open_tf_time,open_t_time,wind_ts_p,wind_tf_p,wind_t_p,close_ts_time,close_tf_time,close_t_time,unwind_ts_p,unwind_tf_p,unwind_t_p,diff_ts,diff_tf,diff_t,sum-2-3-1
0,2022-10-21 09:40:00,2022-10-21 09:40:00,2022-10-21 09:40:00,101.225,101.84,101.215,2022-10-21 09:50:01,2022-10-21 09:50:01,2022-10-21 09:50:00,101.235,101.855,101.245,0.010000000000005116,-0.015000000000000568,0.030000000000001137,100.00000000019327
1,2022-10-21 09:41:01,2022-10-21 09:41:00,2022-10-21 09:41:00,101.23,101.85,101.22,2022-10-21 09:51:01,2022-10-21 09:51:04,2022-10-21 09:51:00,101.235,101.845,101.24,0.0049999999999954525,0.0049999999999954525,0.01999999999999602,899.9999999994657
2,2022-10-21 09:43:00,2022-10-21 09:43:00,2022-10-21 09:43:00,101.22,101.835,101.21,2022-10-21 09:53:01,2022-10-21 09:53:00,2022-10-21 09:53:00,101.24,101.855,101.25,0.01999999999999602,-0.020000000000010232,0.04000000000000625,399.999999999352
3,2022-10-21 09:44:01,2022-10-21 09:44:01,2022-10-21 09:44:00,101.22,101.84,101.21,2022-10-21 09:54:00,2022-10-21 09:54:00,2022-10-21 09:54:00,101.24,101.85,101.245,0.01999999999999602,-0.009999999999990905,0.0350000000000108,900.0000000006025
4,2022-10-21 10:08:06,2022-10-21 10:08:01,2022-10-21 10:08:01,101.235,101.865,101.265,2022-10-21 10:17:30,2022-10-21 10:17:00,2022-10-21 10:17:01,101.225,101.84,101.245,-0.010000000000005116,0.024999999999991473,-0.01999999999999602,699.9999999993634
5,2022-10-21 10:10:15,2022-10-21 10:10:15,2022-10-21 10:10:15,101.23,101.855,101.25,2022-10-21 10:18:00,2022-10-21 10:18:00,2022-10-21 10:18:00,101.225,101.835,101.24,-0.005000000000009663,0.020000000000010232,-0.010000000000005116,800.000000000125
6,2022-10-21 10:11:01,2022-10-21 10:11:02,2022-10-21 10:11:01,101.225,101.855,101.25,2022-10-21 10:19:12,2022-10-21 10:19:01,2022-10-21 10:19:00,101.225,101.84,101.24,0.0,0.015000000000000568,-0.010000000000005116,699.9999999999318
7,2022-10-21 10:12:00,2022-10-21 10:12:00,2022-10-21 10:12:00,101.225,101.855,101.25,2022-10-21 10:20:02,2022-10-21 10:20:00,2022-10-21 10:20:03,101.225,101.84,101.24,0.0,0.015000000000000568,-0.010000000000005116,699.9999999999318
8,2022-10-21 10:23:02,2022-10-21 10:23:00,2022-10-21 10:23:00,101.215,101.83,101.215,2022-10-21 10:25:00,2022-10-21 10:25:00,2022-10-21 10:25:00,101.215,101.82,101.215,0.0,0.010000000000005116,0.0,600.000000000307
9,2022-10-21 10:34:01,2022-10-21 10:34:01,2022-10-21 10:34:00,101.21,101.82,101.205,2022-10-21 10:40:00,2022-10-21 10:40:00,2022-10-21 10:40:00,101.215,101.82,101.225,0.005000000000009663,0.0,0.01999999999999602,600.000000000307
10,2022-10-21 10:36:17,2022-10-21 10:36:17,2022-10-21 10:36:00,101.21,101.83,101.215,2022-10-21 10:41:16,2022-10-21 10:41:00,2022-10-21 10:41:01,101.215,101.815,101.215,0.005000000000009663,0.015000000000000568,0.0,1100.0000000004206
11,2022-10-21 11:05:00,2022-10-21 11:05:00,2022-10-21 11:05:00,101.21,101.81,101.2,2022-10-21 11:14:01,2022-10-21 11:14:01,2022-10-21 11:14:00,101.215,101.81,101.21,0.005000000000009663,0.0,0.009999999999990905,400.00000000020464
12,2022-10-21 11:11:00,2022-10-21 11:11:00,2022-10-21 11:11:00,101.21,101.815,101.205,2022-10-21 11:23:01,2022-10-21 11:23:01,2022-10-21 11:23:02,101.21,101.8,101.2,0.0,0.015000000000000568,-0.0049999999999954525,800.000000000125
13,2022-10-21 11:15:01,2022-10-21 11:15:00,2022-10-21 11:15:00,101.21,101.82,101.215,2022-10-21 11:24:04,2022-10-21 11:24:00,2022-10-21 11:24:00,101.21,101.8,101.2,0.0,0.01999999999999602,-0.015000000000000568,899.9999999997499
14,2022-10-21 11:16:07,2022-10-21 11:16:00,2022-10-21 11:16:00,101.21,101.82,101.21,2022-10-21 11:25:01,2022-10-21 11:25:02,2022-10-21 11:25:00,101.205,101.8,101.2,-0.0049999999999954525,0.01999999999999602,-0.009999999999990905,800.000000000125
15,2022-10-21 11:17:24,2022-10-21 11:17:05,2022-10-21 11:17:11,101.21,101.815,101.205,2022-10-21 11:26:01,2022-10-21 11:26:02,2022-10-21 11:26:00,101.205,101.795,101.195,-0.0049999999999954525,0.01999999999999602,-0.010000000000005116,799.9999999998408
16,2022-10-21 11:19:05,2022-10-21 11:19:03,2022-10-21 11:19:00,101.21,101.815,101.2,2022-10-21 11:27:13,2022-10-21 11:27:00,2022-10-21 11:27:00,101.205,101.795,101.195,-0.0049999999999954525,0.01999999999999602,-0.005000000000009663,899.9999999997499
17,2022-10-21 11:20:04,2022-10-21 11:20:00,2022-10-21 11:20:01,101.21,101.8175,101.205,2022-10-21 11:28:00,2022-10-21 11:28:00,2022-10-21 11:28:00,101.2,101.79,101.19,-0.009999999999990905,0.0274999999999892,-0.015000000000000568,949.9999999997044
