,open_ts_time,open_tf_time,wind_ts_p,wind_tf_p,close_ts_time,close_tf_time,unwind_ts_p,unwind_tf_p,diff_ts,diff_tf,sum
0,2022-10-25 09:41:06,2022-10-25 09:41:00,101.21,-101.84,2022-10-25 10:05:00,2022-10-25 10:05:03,-101.21,101.835,0.0,0.005000000000009663,0.005000000000009663
1,2022-10-25 09:42:00,2022-10-25 09:42:00,101.21,-101.845,2022-10-25 10:05:00,2022-10-25 10:05:03,-101.21,101.835,0.0,0.010000000000005116,0.010000000000005116
2,2022-10-25 09:43:01,2022-10-25 09:43:00,101.21,-101.845,2022-10-25 10:05:00,2022-10-25 10:05:03,-101.21,101.835,0.0,0.010000000000005116,0.010000000000005116
3,2022-10-25 09:44:01,2022-10-25 09:44:00,101.21,-101.845,2022-10-25 10:05:00,2022-10-25 10:05:03,-101.21,101.835,0.0,0.010000000000005116,0.010000000000005116
4,2022-10-25 09:46:03,2022-10-25 09:46:00,101.21,-101.845,2022-10-25 10:05:00,2022-10-25 10:05:03,-101.21,101.835,0.0,0.010000000000005116,0.010000000000005116
5,2022-10-25 09:47:02,2022-10-25 09:47:00,101.21,-101.845,2022-10-25 10:05:00,2022-10-25 10:05:03,-101.21,101.835,0.0,0.010000000000005116,0.010000000000005116
6,2022-10-25 09:48:03,2022-10-25 09:48:00,101.21,-101.845,2022-10-25 10:05:00,2022-10-25 10:05:03,-101.21,101.835,0.0,0.010000000000005116,0.010000000000005116
7,2022-10-25 09:50:02,2022-10-25 09:50:00,101.21,-101.845,2022-10-25 10:05:00,2022-10-25 10:05:03,-101.21,101.835,0.0,0.010000000000005116,0.010000000000005116
8,2022-10-25 09:55:03,2022-10-25 09:55:00,-101.215,101.835,2022-10-25 10:05:00,2022-10-25 10:05:03,101.205,-101.84,0.010000000000005116,0.005000000000009663,0.01500000000001478
9,2022-10-25 09:56:02,2022-10-25 09:56:02,-101.215,101.835,2022-10-25 10:05:00,2022-10-25 10:05:03,101.205,-101.84,0.010000000000005116,0.005000000000009663,0.01500000000001478
10,2022-10-25 09:57:04,2022-10-25 09:57:01,-101.215,101.835,2022-10-25 10:05:00,2022-10-25 10:05:03,101.205,-101.84,0.010000000000005116,0.005000000000009663,0.01500000000001478
11,2022-10-25 09:58:05,2022-10-25 09:58:04,-101.215,101.84,2022-10-25 10:05:00,2022-10-25 10:05:03,101.205,-101.84,0.010000000000005116,0.0,0.010000000000005116
12,2022-10-25 10:02:01,2022-10-25 10:02:02,101.21,-101.84,2022-10-25 10:05:00,2022-10-25 10:05:03,-101.21,101.835,0.0,0.005000000000009663,0.005000000000009663
13,2022-10-25 10:03:00,2022-10-25 10:03:00,101.21,-101.84,2022-10-25 10:05:00,2022-10-25 10:05:03,-101.21,101.835,0.0,0.005000000000009663,0.005000000000009663
14,2022-10-25 10:08:00,2022-10-25 10:08:01,-101.21,101.835,2022-10-25 10:11:03,2022-10-25 10:11:03,101.205,-101.845,0.0049999999999954525,0.010000000000005116,0.015000000000000568
15,2022-10-25 10:09:00,2022-10-25 10:09:00,-101.21,101.84,2022-10-25 10:11:03,2022-10-25 10:11:03,101.205,-101.845,0.0049999999999954525,0.0049999999999954525,0.009999999999990905
16,2022-10-25 10:13:00,2022-10-25 10:13:04,101.205,-101.84,2022-10-25 10:18:08,2022-10-25 10:18:03,-101.21,101.83,0.0049999999999954525,0.010000000000005116,0.015000000000000568
17,2022-10-25 10:14:00,2022-10-25 10:14:00,101.205,-101.845,2022-10-25 10:18:08,2022-10-25 10:18:03,-101.21,101.83,0.0049999999999954525,0.015000000000000568,0.01999999999999602
18,2022-10-25 10:15:04,2022-10-25 10:15:03,101.205,-101.84,2022-10-25 10:18:08,2022-10-25 10:18:03,-101.21,101.83,0.0049999999999954525,0.010000000000005116,0.015000000000000568
19,2022-10-25 10:21:14,2022-10-25 10:21:00,-101.205,101.83,2022-10-25 11:12:00,2022-10-25 11:12:03,101.24,-101.89,-0.03499999999999659,0.060000000000002274,0.025000000000005684
20,2022-10-25 10:22:03,2022-10-25 10:22:00,-101.205,101.83,2022-10-25 11:12:00,2022-10-25 11:12:03,101.24,-101.89,-0.03499999999999659,0.060000000000002274,0.025000000000005684
