,open_ts_time,open_tf_time,wind_ts_p,wind_tf_p,close_ts_time,close_tf_time,unwind_ts_p,unwind_tf_p,diff_ts,diff_tf,sum
0,2022-10-26 09:40:00,2022-10-26 09:40:00,-101.23,101.835,2022-10-26 09:42:13,2022-10-26 09:42:00,101.22,-101.84,0.010000000000005116,0.005000000000009663,0.01500000000001478
1,2022-10-26 09:44:02,2022-10-26 09:44:00,101.2325,-101.855,2022-10-26 09:59:00,2022-10-26 09:59:00,-101.23,101.85,-0.0024999999999977263,0.005000000000009663,0.002500000000011937
2,2022-10-26 09:48:01,2022-10-26 09:48:01,101.23,-101.855,2022-10-26 09:59:00,2022-10-26 09:59:00,-101.23,101.85,0.0,0.005000000000009663,0.005000000000009663
3,2022-10-26 09:49:07,2022-10-26 09:49:00,101.23,-101.855,2022-10-26 09:59:00,2022-10-26 09:59:00,-101.23,101.85,0.0,0.005000000000009663,0.005000000000009663
4,2022-10-26 09:50:02,2022-10-26 09:50:01,101.23,-101.855,2022-10-26 09:59:00,2022-10-26 09:59:00,-101.23,101.85,0.0,0.005000000000009663,0.005000000000009663
5,2022-10-26 09:52:04,2022-10-26 09:52:02,101.23,-101.855,2022-10-26 09:59:00,2022-10-26 09:59:00,-101.23,101.85,0.0,0.005000000000009663,0.005000000000009663
6,2022-10-26 09:56:01,2022-10-26 09:56:00,-101.235,101.845,2022-10-26 09:59:00,2022-10-26 09:59:00,101.225,-101.855,0.010000000000005116,0.010000000000005116,0.020000000000010232
7,2022-10-26 09:57:00,2022-10-26 09:57:00,-101.235,101.845,2022-10-26 09:59:00,2022-10-26 09:59:00,101.225,-101.855,0.010000000000005116,0.010000000000005116,0.020000000000010232
8,2022-10-26 09:58:05,2022-10-26 09:58:00,-101.235,101.85,2022-10-26 09:59:00,2022-10-26 09:59:00,101.225,-101.855,0.010000000000005116,0.005000000000009663,0.01500000000001478
9,2022-10-26 10:01:01,2022-10-26 10:01:00,101.23,-101.86,2022-10-26 10:14:01,2022-10-26 10:14:03,-101.23,101.835,0.0,0.025000000000005684,0.025000000000005684
10,2022-10-26 10:02:09,2022-10-26 10:02:01,101.23,-101.86,2022-10-26 10:14:01,2022-10-26 10:14:03,-101.23,101.835,0.0,0.025000000000005684,0.025000000000005684
11,2022-10-26 10:03:02,2022-10-26 10:03:01,101.23,-101.86,2022-10-26 10:14:01,2022-10-26 10:14:03,-101.23,101.835,0.0,0.025000000000005684,0.025000000000005684
12,2022-10-26 10:04:00,2022-10-26 10:04:00,101.225,-101.85,2022-10-26 10:14:01,2022-10-26 10:14:03,-101.23,101.835,0.005000000000009663,0.015000000000000568,0.020000000000010232
13,2022-10-26 10:07:02,2022-10-26 10:07:01,-101.23,101.84,2022-10-26 10:14:01,2022-10-26 10:14:03,101.225,-101.84,0.005000000000009663,0.0,0.005000000000009663
14,2022-10-26 10:08:02,2022-10-26 10:08:00,-101.23,101.84,2022-10-26 10:14:01,2022-10-26 10:14:03,101.225,-101.84,0.005000000000009663,0.0,0.005000000000009663
15,2022-10-26 10:09:00,2022-10-26 10:09:00,-101.23,101.84,2022-10-26 10:14:01,2022-10-26 10:14:03,101.225,-101.84,0.005000000000009663,0.0,0.005000000000009663
16,2022-10-26 10:10:00,2022-10-26 10:10:00,-101.235,101.845,2022-10-26 10:14:01,2022-10-26 10:14:03,101.225,-101.84,0.010000000000005116,-0.0049999999999954525,0.005000000000009663
17,2022-10-26 10:11:01,2022-10-26 10:11:00,-101.235,101.845,2022-10-26 10:14:01,2022-10-26 10:14:03,101.225,-101.84,0.010000000000005116,-0.0049999999999954525,0.005000000000009663
18,2022-10-26 10:17:09,2022-10-26 10:17:00,-101.23,101.835,2022-10-26 10:27:00,2022-10-26 10:27:01,101.22,-101.835,0.010000000000005116,0.0,0.010000000000005116
19,2022-10-26 10:18:00,2022-10-26 10:18:01,-101.23,101.83,2022-10-26 10:27:00,2022-10-26 10:27:01,101.22,-101.835,0.010000000000005116,0.0049999999999954525,0.015000000000000568
20,2022-10-26 10:19:00,2022-10-26 10:19:00,-101.225,101.825,2022-10-26 10:27:00,2022-10-26 10:27:01,101.22,-101.835,0.0049999999999954525,0.009999999999990905,0.014999999999986358
21,2022-10-26 10:20:04,2022-10-26 10:20:00,-101.23,101.825,2022-10-26 10:27:00,2022-10-26 10:27:01,101.22,-101.835,0.010000000000005116,0.009999999999990905,0.01999999999999602
22,2022-10-26 10:22:01,2022-10-26 10:22:00,-101.23,101.825,2022-10-26 10:27:00,2022-10-26 10:27:01,101.22,-101.835,0.010000000000005116,0.009999999999990905,0.01999999999999602
23,2022-10-26 10:28:00,2022-10-26 10:28:01,101.22,-101.83,2022-10-26 10:42:06,2022-10-26 10:42:00,-101.23,101.825,0.010000000000005116,0.0049999999999954525,0.015000000000000568
24,2022-10-26 10:35:05,2022-10-26 10:35:00,-101.225,101.825,2022-10-26 10:42:06,2022-10-26 10:42:00,101.225,-101.83,0.0,0.0049999999999954525,0.0049999999999954525
25,2022-10-26 10:38:09,2022-10-26 10:38:01,101.225,-101.83,2022-10-26 10:42:06,2022-10-26 10:42:00,-101.23,101.825,0.005000000000009663,0.0049999999999954525,0.010000000000005116
26,2022-10-26 10:39:11,2022-10-26 10:39:02,101.225,-101.83,2022-10-26 10:42:06,2022-10-26 10:42:00,-101.23,101.825,0.005000000000009663,0.0049999999999954525,0.010000000000005116
27,2022-10-26 10:40:01,2022-10-26 10:40:06,101.225,-101.83,2022-10-26 10:42:06,2022-10-26 10:42:00,-101.23,101.825,0.005000000000009663,0.0049999999999954525,0.010000000000005116
28,2022-10-26 10:43:02,2022-10-26 10:43:01,-101.23,101.825,2022-10-26 10:48:01,2022-10-26 10:48:01,101.23,-101.84,0.0,0.015000000000000568,0.015000000000000568
29,2022-10-26 10:44:05,2022-10-26 10:44:00,-101.23,101.83,2022-10-26 10:48:01,2022-10-26 10:48:01,101.23,-101.84,0.0,0.010000000000005116,0.010000000000005116
