,open_ts_time,open_tf_time,open_t_time,wind_ts_p,wind_tf_p,wind_t_p,close_ts_time,close_tf_time,close_t_time,unwind_ts_p,unwind_tf_p,unwind_t_p,diff_ts,diff_tf,diff_t,sum-2-3-1
0,2022-10-27 09:51:00,2022-10-27 09:51:00,2022-10-27 09:51:00,101.305,102.01,101.515,2022-10-27 10:07:01,2022-10-27 10:07:00,2022-10-27 10:07:00,101.32,102.02,101.53,0.014999999999986358,-0.009999999999990905,0.015000000000000568,300.00000000001137
1,2022-10-27 09:54:00,2022-10-27 09:54:00,2022-10-27 09:54:00,101.31,102.02,101.53,2022-10-27 10:14:04,2022-10-27 10:14:00,2022-10-27 10:14:00,101.32,102.02,101.53,0.009999999999990905,0.0,0.0,399.9999999996362
2,2022-10-27 09:55:03,2022-10-27 09:55:00,2022-10-27 09:55:00,101.315,102.025,101.53,2022-10-27 10:15:03,2022-10-27 10:15:00,2022-10-27 10:15:00,101.32,102.02,101.525,0.0049999999999954525,0.005000000000009663,-0.0049999999999954525,400.00000000048885
3,2022-10-27 09:56:00,2022-10-27 09:56:00,2022-10-27 09:56:00,101.315,102.025,101.53,2022-10-27 10:16:03,2022-10-27 10:16:03,2022-10-27 10:16:00,101.32,102.015,101.525,0.0049999999999954525,0.010000000000005116,-0.0049999999999954525,700.000000000216
4,2022-10-27 09:57:00,2022-10-27 09:57:00,2022-10-27 09:57:01,101.31,102.02,101.52,2022-10-27 10:17:02,2022-10-27 10:17:00,2022-10-27 10:17:02,101.32,102.015,101.525,0.009999999999990905,0.0049999999999954525,0.005000000000009663,799.9999999995566
5,2022-10-27 09:58:00,2022-10-27 09:58:00,2022-10-27 09:58:00,101.31,102.025,101.52,2022-10-27 10:18:03,2022-10-27 10:18:00,2022-10-27 10:18:01,101.32,102.01,101.525,0.009999999999990905,0.015000000000000568,0.005000000000009663,1399.9999999998636
6,2022-10-27 09:59:02,2022-10-27 09:59:00,2022-10-27 09:59:00,101.31,102.025,101.52,2022-10-27 10:19:06,2022-10-27 10:19:00,2022-10-27 10:19:00,101.32,102.015,101.525,0.009999999999990905,0.010000000000005116,0.005000000000009663,1100.0000000001364
7,2022-10-27 10:06:00,2022-10-27 10:06:04,2022-10-27 10:06:01,101.315,102.025,101.525,2022-10-27 10:20:01,2022-10-27 10:20:00,2022-10-27 10:20:00,101.315,102.015,101.53,0.0,0.010000000000005116,0.0049999999999954525,700.000000000216
8,2022-10-27 10:09:03,2022-10-27 10:09:00,2022-10-27 10:09:00,101.315,102.025,101.515,2022-10-27 10:21:00,2022-10-27 10:21:02,2022-10-27 10:21:01,101.315,102.015,101.53,0.0,0.010000000000005116,0.015000000000000568,900.0000000003183
9,2022-10-27 10:10:03,2022-10-27 10:10:02,2022-10-27 10:10:00,101.32,102.025,101.515,2022-10-27 10:22:02,2022-10-27 10:22:00,2022-10-27 10:22:01,101.315,102.015,101.53,-0.0049999999999954525,0.010000000000005116,0.015000000000000568,700.0000000005002
10,2022-10-27 10:11:01,2022-10-27 10:11:00,2022-10-27 10:11:00,101.32,102.03,101.515,2022-10-27 10:23:04,2022-10-27 10:23:00,2022-10-27 10:23:01,101.315,102.01,101.525,-0.0049999999999954525,0.01999999999999602,0.010000000000005116,1200.0000000000455
11,2022-10-27 10:38:11,2022-10-27 10:38:02,2022-10-27 10:38:02,101.315,102.02,101.535,2022-10-27 10:42:01,2022-10-27 10:42:03,2022-10-27 10:42:03,101.325,102.025,101.55,0.010000000000005116,-0.005000000000009663,0.015000000000000568,399.9999999996362
12,2022-10-27 10:39:15,2022-10-27 10:39:00,2022-10-27 10:39:04,101.315,102.02,101.53,2022-10-27 10:43:00,2022-10-27 10:43:01,2022-10-27 10:43:00,101.325,102.025,101.56,0.010000000000005116,-0.005000000000009663,0.030000000000001137,699.9999999996476
13,2022-10-27 10:40:01,2022-10-27 10:40:04,2022-10-27 10:40:00,101.315,102.02,101.53,2022-10-27 10:45:00,2022-10-27 10:45:00,2022-10-27 10:45:00,101.325,102.025,101.555,0.010000000000005116,-0.005000000000009663,0.025000000000005684,599.9999999997385
14,2022-10-27 10:41:03,2022-10-27 10:41:00,2022-10-27 10:41:06,101.315,102.025,101.535,2022-10-27 10:46:44,2022-10-27 10:46:06,2022-10-27 10:46:02,101.325,102.025,101.55,0.010000000000005116,0.0,0.015000000000000568,700.000000000216
15,2022-10-27 11:05:07,2022-10-27 11:05:01,2022-10-27 11:05:00,101.31,102.01,101.525,2022-10-27 11:14:01,2022-10-27 11:14:00,2022-10-27 11:14:00,101.315,102.005,101.535,0.0049999999999954525,0.005000000000009663,0.009999999999990905,700.000000000216
16,2022-10-27 11:06:00,2022-10-27 11:06:00,2022-10-27 11:06:00,101.315,102.015,101.53,2022-10-27 11:15:03,2022-10-27 11:15:03,2022-10-27 11:15:00,101.315,102.005,101.53,0.0,0.010000000000005116,0.0,600.000000000307
17,2022-10-27 11:07:00,2022-10-27 11:07:00,2022-10-27 11:07:00,101.31,102.015,101.53,2022-10-27 11:19:02,2022-10-27 11:19:00,2022-10-27 11:19:00,101.31,102.0,101.52,0.0,0.015000000000000568,-0.010000000000005116,699.9999999999318
18,2022-10-27 11:09:08,2022-10-27 11:09:05,2022-10-27 11:09:00,101.31,102.02,101.535,2022-10-27 11:20:01,2022-10-27 11:20:00,2022-10-27 11:20:00,101.315,102.0,101.525,0.0049999999999954525,0.01999999999999602,-0.009999999999990905,1199.9999999997613
19,2022-10-27 11:10:01,2022-10-27 11:10:02,2022-10-27 11:10:00,101.31,102.02,101.535,2022-10-27 11:23:00,2022-10-27 11:23:01,2022-10-27 11:23:00,101.315,102.0,101.52,0.0049999999999954525,0.01999999999999602,-0.015000000000000568,1099.999999999568
20,2022-10-27 11:11:00,2022-10-27 11:11:01,2022-10-27 11:11:00,101.31,102.02,101.54,2022-10-27 11:24:00,2022-10-27 11:24:01,2022-10-27 11:24:01,101.315,102.005,101.525,0.0049999999999954525,0.015000000000000568,-0.015000000000000568,799.9999999998408
21,2022-10-27 11:17:00,2022-10-27 11:17:00,2022-10-27 11:17:00,101.305,102.005,101.515,2022-10-27 11:26:03,2022-10-27 11:26:01,2022-10-27 11:26:02,101.315,102.0,101.525,0.009999999999990905,0.0049999999999954525,0.010000000000005116,899.9999999994657
22,2022-10-27 11:18:08,2022-10-27 11:18:01,2022-10-27 11:18:01,101.305,102.005,101.515,2022-10-27 11:27:58,2022-10-27 11:27:01,2022-10-27 11:27:02,101.315,102.0,101.525,0.009999999999990905,0.0049999999999954525,0.010000000000005116,899.9999999994657
23,2022-10-27 11:29:00,2022-10-27 11:29:00,2022-10-27 11:29:00,101.31,102.015,101.525,2022-10-27 13:08:35,2022-10-27 13:08:01,2022-10-27 13:08:00,101.315,102.005,101.525,0.0049999999999954525,0.010000000000005116,0.0,800.000000000125
24,2022-10-27 13:00:00,2022-10-27 13:00:00,2022-10-27 13:00:00,101.31,102.015,101.525,2022-10-27 13:09:00,2022-10-27 13:09:00,2022-10-27 13:09:01,101.315,102.005,101.53,0.0049999999999954525,0.010000000000005116,0.0049999999999954525,900.0000000000341
25,2022-10-27 13:01:00,2022-10-27 13:01:00,2022-10-27 13:01:00,101.31,102.01,101.525,2022-10-27 13:10:00,2022-10-27 13:10:00,2022-10-27 13:10:00,101.315,102.0,101.525,0.0049999999999954525,0.010000000000005116,0.0,800.000000000125
