,open_ts_time,open_tf_time,open_t_time,wind_ts_p,wind_tf_p,wind_t_p,close_ts_time,close_tf_time,close_t_time,unwind_ts_p,unwind_tf_p,unwind_t_p,diff_ts,diff_tf,diff_t,sum-2-3-1
0,2022-10-27 09:43:00,2022-10-27 09:43:00,2022-10-27 09:43:00,101.31,102.005,101.515,2022-10-27 09:51:00,2022-10-27 09:51:00,2022-10-27 09:51:00,101.305,102.01,101.515,0.0049999999999954525,0.005000000000009663,0.0,500.0000000003979
1,2022-10-27 09:45:04,2022-10-27 09:45:00,2022-10-27 09:45:00,101.31,102.01,101.53,2022-10-27 09:54:00,2022-10-27 09:54:00,2022-10-27 09:54:00,101.31,102.02,101.53,0.0,0.009999999999990905,0.0,599.9999999994543
2,2022-10-27 09:46:01,2022-10-27 09:46:00,2022-10-27 09:46:00,101.31,102.0,101.52,2022-10-27 09:55:03,2022-10-27 09:55:00,2022-10-27 09:55:00,101.315,102.025,101.53,-0.0049999999999954525,0.025000000000005684,-0.010000000000005116,1100.0000000004206
3,2022-10-27 09:47:00,2022-10-27 09:47:00,2022-10-27 09:47:00,101.31,102.005,101.525,2022-10-27 09:56:00,2022-10-27 09:56:00,2022-10-27 09:56:00,101.315,102.03,101.53,-0.0049999999999954525,0.025000000000005684,-0.0049999999999954525,1200.000000000614
4,2022-10-27 10:14:04,2022-10-27 10:14:00,2022-10-27 10:14:00,101.32,102.02,101.525,2022-10-27 10:38:11,2022-10-27 10:38:02,2022-10-27 10:38:02,101.315,102.02,101.535,0.0049999999999954525,0.0,-0.009999999999990905,0.0
5,2022-10-27 10:15:03,2022-10-27 10:15:00,2022-10-27 10:15:00,101.32,102.02,101.53,2022-10-27 10:39:15,2022-10-27 10:39:00,2022-10-27 10:39:04,101.315,102.02,101.53,0.0049999999999954525,0.0,0.0,199.9999999998181
6,2022-10-27 10:16:03,2022-10-27 10:16:03,2022-10-27 10:16:00,101.32,102.015,101.52,2022-10-27 10:40:01,2022-10-27 10:40:04,2022-10-27 10:40:00,101.315,102.02,101.53,0.0049999999999954525,0.0049999999999954525,-0.010000000000005116,299.99999999944293
7,2022-10-27 10:17:02,2022-10-27 10:17:00,2022-10-27 10:17:02,101.32,102.015,101.525,2022-10-27 10:41:03,2022-10-27 10:41:00,2022-10-27 10:41:06,101.315,102.025,101.535,0.0049999999999954525,0.010000000000005116,-0.009999999999990905,600.000000000307
8,2022-10-27 10:18:03,2022-10-27 10:18:00,2022-10-27 10:18:01,101.32,102.015,101.525,2022-10-27 11:05:07,2022-10-27 11:05:01,2022-10-27 11:05:00,101.31,102.01,101.525,0.009999999999990905,-0.0049999999999954525,0.0,99.99999999990905
9,2022-10-27 10:20:01,2022-10-27 10:20:00,2022-10-27 10:20:00,101.315,102.01,101.525,2022-10-27 11:06:00,2022-10-27 11:06:00,2022-10-27 11:06:00,101.315,102.015,101.53,0.0,0.0049999999999954525,-0.0049999999999954525,199.9999999998181
10,2022-10-27 10:21:00,2022-10-27 10:21:02,2022-10-27 10:21:01,101.32,102.015,101.53,2022-10-27 11:07:00,2022-10-27 11:07:00,2022-10-27 11:07:00,101.31,102.015,101.53,0.009999999999990905,0.0,0.0,399.9999999996362
11,2022-10-27 10:22:02,2022-10-27 10:22:00,2022-10-27 10:22:01,101.315,102.01,101.53,2022-10-27 11:09:08,2022-10-27 11:09:05,2022-10-27 11:09:00,101.31,102.02,101.535,0.0049999999999954525,0.009999999999990905,-0.0049999999999954525,699.9999999993634
12,2022-10-27 10:28:00,2022-10-27 10:28:03,2022-10-27 10:28:00,101.315,102.01,101.53,2022-10-27 11:10:01,2022-10-27 11:10:02,2022-10-27 11:10:00,101.31,102.02,101.535,0.0049999999999954525,0.009999999999990905,-0.0049999999999954525,699.9999999993634
13,2022-10-27 10:42:01,2022-10-27 10:42:03,2022-10-27 10:42:03,101.325,102.02,101.54,2022-10-27 11:11:00,2022-10-27 11:11:01,2022-10-27 11:11:00,101.31,102.02,101.54,0.015000000000000568,0.0,0.0,600.0000000000227
