,open_ts_time,open_tf_time,open_t_time,wind_ts_p,wind_tf_p,wind_t_p,close_ts_time,close_tf_time,close_t_time,unwind_ts_p,unwind_tf_p,unwind_t_p,diff_ts,diff_tf,diff_t,sum-2-3-1
0,2022-11-02 09:40:00,2022-11-02 09:40:00,2022-11-02 09:40:00,101.35,102.105,101.635,2022-11-02 09:59:01,2022-11-02 09:59:00,2022-11-02 09:59:00,101.33,102.075,101.585,0.01999999999999602,-0.030000000000001137,0.05000000000001137,0.0
1,2022-11-02 09:41:00,2022-11-02 09:41:00,2022-11-02 09:41:00,101.35,102.1,101.63,2022-11-02 10:05:01,2022-11-02 10:05:00,2022-11-02 10:05:00,101.33,102.08,101.595,0.01999999999999602,-0.01999999999999602,0.03499999999999659,300.00000000001137
2,2022-11-02 09:42:01,2022-11-02 09:42:00,2022-11-02 09:42:01,101.345,102.09,101.61,2022-11-02 10:06:00,2022-11-02 10:06:00,2022-11-02 10:06:00,101.33,102.08,101.595,0.015000000000000568,-0.010000000000005116,0.015000000000000568,299.99999999972715
3,2022-11-02 09:44:02,2022-11-02 09:44:01,2022-11-02 09:44:00,101.34,102.08,101.595,2022-11-02 10:08:00,2022-11-02 10:08:01,2022-11-02 10:08:00,101.335,102.09,101.615,0.005000000000009663,0.010000000000005116,-0.01999999999999602,400.00000000077307
4,2022-11-02 09:45:00,2022-11-02 09:45:00,2022-11-02 09:45:00,101.34,102.075,101.595,2022-11-02 10:12:02,2022-11-02 10:12:01,2022-11-02 10:12:00,101.34,102.105,101.63,0.0,0.030000000000001137,-0.03499999999999659,1100.0000000001364
5,2022-11-02 09:48:00,2022-11-02 09:48:00,2022-11-02 09:48:00,101.335,102.07,101.585,2022-11-02 10:13:00,2022-11-02 10:13:03,2022-11-02 10:13:00,101.34,102.105,101.63,-0.005000000000009663,0.0350000000000108,-0.045000000000001705,1000.0000000002274
6,2022-11-02 09:49:00,2022-11-02 09:49:00,2022-11-02 09:49:00,101.335,102.065,101.585,2022-11-02 10:14:02,2022-11-02 10:14:01,2022-11-02 10:14:01,101.34,102.10249999999999,101.625,-0.005000000000009663,0.037499999999994316,-0.04000000000000625,1249.9999999991473
7,2022-11-02 09:50:02,2022-11-02 09:50:04,2022-11-02 09:50:00,101.335,102.065,101.585,2022-11-02 10:16:00,2022-11-02 10:16:01,2022-11-02 10:16:00,101.34,102.105,101.63,-0.005000000000009663,0.04000000000000625,-0.045000000000001705,1299.9999999999545
8,2022-11-02 09:52:00,2022-11-02 09:52:00,2022-11-02 09:52:03,101.34,102.075,101.6,2022-11-02 10:28:04,2022-11-02 10:28:00,2022-11-02 10:28:00,101.355,102.12,101.655,-0.015000000000000568,0.045000000000001705,-0.05500000000000682,999.9999999999432
9,2022-11-02 09:54:01,2022-11-02 09:54:00,2022-11-02 09:54:00,101.335,102.07,101.59,2022-11-02 10:29:00,2022-11-02 10:29:00,2022-11-02 10:29:01,101.36,102.125,101.66,-0.025000000000005684,0.05500000000000682,-0.06999999999999318,900.0000000003183
10,2022-11-02 10:02:03,2022-11-02 10:02:01,2022-11-02 10:02:01,101.33,102.06,101.58,2022-11-02 10:33:01,2022-11-02 10:33:00,2022-11-02 10:33:00,101.355,102.115,101.645,-0.025000000000005684,0.05499999999999261,-0.06499999999999773,999.9999999993747
11,2022-11-02 10:20:00,2022-11-02 10:20:00,2022-11-02 10:20:01,101.345,102.09,101.625,2022-11-02 10:35:02,2022-11-02 10:35:03,2022-11-02 10:35:00,101.355,102.115,101.64,-0.010000000000005116,0.024999999999991473,-0.015000000000000568,799.9999999992724
12,2022-11-02 10:21:02,2022-11-02 10:21:00,2022-11-02 10:21:01,101.345,102.095,101.63,2022-11-02 10:36:02,2022-11-02 10:36:02,2022-11-02 10:36:02,101.355,102.115,101.64,-0.010000000000005116,0.01999999999999602,-0.010000000000005116,599.9999999994543
13,2022-11-02 10:23:00,2022-11-02 10:23:00,2022-11-02 10:23:00,101.355,102.105,101.65,2022-11-02 10:37:02,2022-11-02 10:37:00,2022-11-02 10:37:00,101.355,102.115,101.64,0.0,0.009999999999990905,0.010000000000005116,799.9999999995566
14,2022-11-02 11:04:03,2022-11-02 11:04:00,2022-11-02 11:04:00,101.36,102.115,101.655,2022-11-02 11:11:29,2022-11-02 11:11:03,2022-11-02 11:11:00,101.345,102.1,101.62,0.015000000000000568,-0.015000000000000568,0.03499999999999659,399.9999999999204
15,2022-11-02 11:15:04,2022-11-02 11:15:00,2022-11-02 11:15:02,101.35,102.09,101.625,2022-11-02 11:24:53,2022-11-02 11:24:25,2022-11-02 11:24:00,101.345,102.09,101.61,0.0049999999999954525,0.0,0.015000000000000568,499.99999999982947
16,2022-11-02 11:19:01,2022-11-02 11:19:00,2022-11-02 11:19:01,101.35,102.09,101.62,2022-11-02 11:25:02,2022-11-02 11:25:00,2022-11-02 11:25:00,101.345,102.095,101.61,0.0049999999999954525,0.0049999999999954525,0.010000000000005116,699.9999999996476
17,2022-11-02 11:21:00,2022-11-02 11:21:02,2022-11-02 11:21:00,101.35,102.085,101.615,2022-11-02 13:02:00,2022-11-02 13:02:00,2022-11-02 13:02:00,101.325,102.045,101.535,0.024999999999991473,-0.03999999999999204,0.0799999999999983,200.00000000010232
18,2022-11-02 11:22:00,2022-11-02 11:22:00,2022-11-02 11:22:00,101.35,102.085,101.615,2022-11-02 13:05:00,2022-11-02 13:05:00,2022-11-02 13:05:00,101.325,102.04,101.53,0.024999999999991473,-0.044999999999987494,0.08499999999999375,2.842170943040401e-10
19,2022-11-02 11:29:00,2022-11-02 11:29:00,2022-11-02 11:29:00,101.345,102.08,101.61,2022-11-02 13:06:06,2022-11-02 13:06:00,2022-11-02 13:06:00,101.325,102.04,101.53,0.01999999999999602,-0.03999999999999204,0.0799999999999983,2.842170943040401e-10
20,2022-11-02 13:07:00,2022-11-02 13:07:00,2022-11-02 13:07:00,101.325,102.03,101.525,2022-11-02 13:17:10,2022-11-02 13:17:00,2022-11-02 13:17:00,101.315,102.02,101.505,0.010000000000005116,-0.010000000000005116,0.020000000000010232,200.00000000010232
21,2022-11-02 13:08:03,2022-11-02 13:08:01,2022-11-02 13:08:00,101.315,102.005,101.5,2022-11-02 13:18:02,2022-11-02 13:18:00,2022-11-02 13:18:02,101.32,102.025,101.505,-0.0049999999999954525,0.020000000000010232,-0.0049999999999954525,900.0000000008868
22,2022-11-02 13:09:00,2022-11-02 13:09:00,2022-11-02 13:09:00,101.32,102.005,101.495,2022-11-02 13:20:00,2022-11-02 13:20:00,2022-11-02 13:20:00,101.31,102.005,101.465,0.009999999999990905,0.0,0.030000000000001137,999.9999999996589
23,2022-11-02 13:10:00,2022-11-02 13:10:00,2022-11-02 13:10:00,101.315,101.995,101.48,2022-11-02 13:21:00,2022-11-02 13:21:00,2022-11-02 13:21:00,101.31,102.005,101.465,0.0049999999999954525,0.009999999999990905,0.015000000000000568,1099.9999999992838
24,2022-11-02 13:11:04,2022-11-02 13:11:02,2022-11-02 13:11:00,101.32,102.0,101.495,2022-11-02 13:22:00,2022-11-02 13:22:00,2022-11-02 13:22:00,101.31,101.995,101.445,0.009999999999990905,-0.0049999999999954525,0.05000000000001137,1100.0000000001364
25,2022-11-02 13:34:01,2022-11-02 13:34:00,2022-11-02 13:34:00,101.32,102.005,101.475,2022-11-02 13:39:00,2022-11-02 13:39:04,2022-11-02 13:39:03,101.315,102.01,101.465,0.0049999999999954525,0.005000000000009663,0.009999999999990905,700.000000000216
26,2022-11-02 13:35:03,2022-11-02 13:35:02,2022-11-02 13:35:00,101.32,102.01,101.48,2022-11-02 13:42:08,2022-11-02 13:42:00,2022-11-02 13:42:01,101.315,102.015,101.47,0.0049999999999954525,0.0049999999999954525,0.010000000000005116,699.9999999996476
27,2022-11-02 13:48:00,2022-11-02 13:48:01,2022-11-02 13:48:00,101.32,102.01,101.475,2022-11-02 13:49:04,2022-11-02 13:49:01,2022-11-02 13:49:01,101.315,102.015,101.47,0.0049999999999954525,0.0049999999999954525,0.0049999999999954525,599.9999999994543
28,2022-11-02 14:10:02,2022-11-02 14:10:00,2022-11-02 14:10:00,101.3275,102.0275,101.505,2022-11-02 14:19:09,2022-11-02 14:19:01,2022-11-02 14:19:00,101.325,102.035,101.505,0.0024999999999977263,0.007499999999993179,0.0,549.9999999994998
29,2022-11-02 14:11:03,2022-11-02 14:11:00,2022-11-02 14:11:00,101.33,102.03,101.51,2022-11-02 14:20:01,2022-11-02 14:20:02,2022-11-02 14:20:00,101.325,102.035,101.505,0.0049999999999954525,0.0049999999999954525,0.005000000000009663,599.9999999997385
30,2022-11-02 14:12:01,2022-11-02 14:12:00,2022-11-02 14:12:00,101.33,102.04,101.525,2022-11-02 14:22:01,2022-11-02 14:22:07,2022-11-02 14:22:01,101.325,102.04,101.51,0.0049999999999954525,0.0,0.015000000000000568,499.99999999982947
31,2022-11-02 14:13:03,2022-11-02 14:13:01,2022-11-02 14:13:01,101.33,102.03,101.515,2022-11-02 14:26:00,2022-11-02 14:26:00,2022-11-02 14:26:00,101.32,102.025,101.485,0.010000000000005116,-0.0049999999999954525,0.030000000000001137,700.0000000005002
32,2022-11-02 14:23:04,2022-11-02 14:23:00,2022-11-02 14:23:00,101.325,102.03,101.505,2022-11-02 14:28:05,2022-11-02 14:28:00,2022-11-02 14:28:01,101.32,102.025,101.485,0.005000000000009663,-0.0049999999999954525,0.01999999999999602,300.0000000005798
33,2022-11-02 14:30:01,2022-11-02 14:30:03,2022-11-02 14:30:02,101.33,102.025,101.5,2022-11-02 14:54:03,2022-11-02 14:54:00,2022-11-02 14:54:03,101.325,102.035,101.525,0.0049999999999954525,0.009999999999990905,-0.025000000000005684,299.9999999991587
34,2022-11-02 14:31:01,2022-11-02 14:31:01,2022-11-02 14:31:00,101.33,102.03,101.505,2022-11-02 14:54:03,2022-11-02 14:54:00,2022-11-02 14:54:03,101.325,102.035,101.525,0.0049999999999954525,0.0049999999999954525,-0.020000000000010232,99.99999999934062
35,2022-11-02 14:33:02,2022-11-02 14:33:00,2022-11-02 14:33:00,101.325,102.02,101.5,2022-11-02 14:54:03,2022-11-02 14:54:00,2022-11-02 14:54:03,101.325,102.035,101.525,0.0,0.015000000000000568,-0.025000000000005684,399.9999999999204
36,2022-11-02 14:41:01,2022-11-02 14:41:00,2022-11-02 14:41:00,101.325,102.02,101.495,2022-11-02 14:54:03,2022-11-02 14:54:00,2022-11-02 14:54:03,101.325,102.035,101.525,0.0,0.015000000000000568,-0.030000000000001137,300.00000000001137
37,2022-11-02 14:43:01,2022-11-02 14:43:00,2022-11-02 14:43:00,101.325,102.015,101.5,2022-11-02 14:54:03,2022-11-02 14:54:00,2022-11-02 14:54:03,101.325,102.035,101.525,0.0,0.01999999999999602,-0.025000000000005684,699.9999999996476
38,2022-11-02 14:44:01,2022-11-02 14:44:00,2022-11-02 14:44:00,101.325,102.015,101.495,2022-11-02 14:54:03,2022-11-02 14:54:00,2022-11-02 14:54:03,101.325,102.035,101.525,0.0,0.01999999999999602,-0.030000000000001137,599.9999999997385
