,open_ts_time,open_t_time,wind_ts_p,wind_t_p,close_ts_time,close_t_time,unwind_ts_p,unwind_t_p,diff_ts,diff_t,sum
0,2022-11-02 09:40:00,2022-11-02 09:40:00,-101.35,101.63,2022-11-02 10:01:02,2022-11-02 10:01:00,101.325,-101.58,0.024999999999991473,-0.04999999999999716,-0.025000000000005684
1,2022-11-02 09:45:00,2022-11-02 09:45:00,-101.34,101.59,2022-11-02 10:01:02,2022-11-02 10:01:00,101.325,-101.58,0.015000000000000568,-0.010000000000005116,0.0049999999999954525
2,2022-11-02 09:46:00,2022-11-02 09:46:00,-101.34,101.585,2022-11-02 10:01:02,2022-11-02 10:01:00,101.325,-101.58,0.015000000000000568,-0.0049999999999954525,0.010000000000005116
3,2022-11-02 09:47:02,2022-11-02 09:47:02,-101.34,101.585,2022-11-02 10:01:02,2022-11-02 10:01:00,101.325,-101.58,0.015000000000000568,-0.0049999999999954525,0.010000000000005116
4,2022-11-02 09:48:00,2022-11-02 09:48:00,-101.335,101.58,2022-11-02 10:01:02,2022-11-02 10:01:00,101.325,-101.58,0.009999999999990905,0.0,0.009999999999990905
5,2022-11-02 09:49:00,2022-11-02 09:49:00,-101.335,101.58,2022-11-02 10:01:02,2022-11-02 10:01:00,101.325,-101.58,0.009999999999990905,0.0,0.009999999999990905
6,2022-11-02 09:50:02,2022-11-02 09:50:00,-101.335,101.58,2022-11-02 10:01:02,2022-11-02 10:01:00,101.325,-101.58,0.009999999999990905,0.0,0.009999999999990905
7,2022-11-02 09:51:00,2022-11-02 09:51:00,-101.335,101.59,2022-11-02 10:01:02,2022-11-02 10:01:00,101.325,-101.58,0.009999999999990905,-0.010000000000005116,-1.4210854715202004e-14
8,2022-11-02 09:52:00,2022-11-02 09:52:03,-101.34,101.595,2022-11-02 10:01:02,2022-11-02 10:01:00,101.325,-101.58,0.015000000000000568,-0.015000000000000568,0.0
9,2022-11-02 09:55:02,2022-11-02 09:55:00,101.33,-101.595,2022-11-02 10:01:02,2022-11-02 10:01:00,-101.33,101.575,0.0,0.01999999999999602,0.01999999999999602
10,2022-11-02 09:56:09,2022-11-02 09:56:00,101.33,-101.59,2022-11-02 10:01:02,2022-11-02 10:01:00,-101.33,101.575,0.0,0.015000000000000568,0.015000000000000568
11,2022-11-02 09:57:02,2022-11-02 09:57:00,101.33,-101.595,2022-11-02 10:01:02,2022-11-02 10:01:00,-101.33,101.575,0.0,0.01999999999999602,0.01999999999999602
12,2022-11-02 09:58:00,2022-11-02 09:58:00,101.33,-101.595,2022-11-02 10:01:02,2022-11-02 10:01:00,-101.33,101.575,0.0,0.01999999999999602,0.01999999999999602
13,2022-11-02 10:03:00,2022-11-02 10:03:00,-101.33,101.58,2022-11-02 10:06:00,2022-11-02 10:06:00,101.33,-101.6,0.0,0.01999999999999602,0.01999999999999602
14,2022-11-02 10:04:00,2022-11-02 10:04:00,-101.33,101.59,2022-11-02 10:06:00,2022-11-02 10:06:00,101.33,-101.6,0.0,0.009999999999990905,0.009999999999990905
15,2022-11-02 10:08:00,2022-11-02 10:08:00,101.335,-101.62,2022-11-02 10:19:20,2022-11-02 10:19:00,-101.345,101.615,0.010000000000005116,0.005000000000009663,0.01500000000001478
16,2022-11-02 10:09:09,2022-11-02 10:09:01,101.335,-101.62,2022-11-02 10:19:20,2022-11-02 10:19:00,-101.345,101.615,0.010000000000005116,0.005000000000009663,0.01500000000001478
17,2022-11-02 10:10:04,2022-11-02 10:10:00,101.335,-101.62,2022-11-02 10:19:20,2022-11-02 10:19:00,-101.345,101.615,0.010000000000005116,0.005000000000009663,0.01500000000001478
18,2022-11-02 10:11:00,2022-11-02 10:11:00,101.34,-101.63,2022-11-02 10:19:20,2022-11-02 10:19:00,-101.345,101.615,0.0049999999999954525,0.015000000000000568,0.01999999999999602
19,2022-11-02 10:12:02,2022-11-02 10:12:00,101.34,-101.635,2022-11-02 10:19:20,2022-11-02 10:19:00,-101.345,101.615,0.0049999999999954525,0.020000000000010232,0.025000000000005684
20,2022-11-02 10:13:00,2022-11-02 10:13:00,101.34,-101.635,2022-11-02 10:19:20,2022-11-02 10:19:00,-101.345,101.615,0.0049999999999954525,0.020000000000010232,0.025000000000005684
21,2022-11-02 10:14:02,2022-11-02 10:14:01,101.34,-101.63,2022-11-02 10:19:20,2022-11-02 10:19:00,-101.345,101.615,0.0049999999999954525,0.015000000000000568,0.01999999999999602
22,2022-11-02 10:15:00,2022-11-02 10:15:00,101.34,-101.635,2022-11-02 10:19:20,2022-11-02 10:19:00,-101.345,101.615,0.0049999999999954525,0.020000000000010232,0.025000000000005684
23,2022-11-02 10:16:00,2022-11-02 10:16:00,101.34,-101.635,2022-11-02 10:19:20,2022-11-02 10:19:00,-101.345,101.615,0.0049999999999954525,0.020000000000010232,0.025000000000005684
24,2022-11-02 10:17:01,2022-11-02 10:17:00,101.34,-101.63,2022-11-02 10:19:20,2022-11-02 10:19:00,-101.345,101.615,0.0049999999999954525,0.015000000000000568,0.01999999999999602
