,open_ts_time,open_tf_time,open_t_time,wind_ts_p,wind_tf_p,wind_t_p,close_ts_time,close_tf_time,close_t_time,unwind_ts_p,unwind_tf_p,unwind_t_p,diff_ts,diff_tf,diff_t,sum-2-3-1
0,2022-11-04 09:57:02,2022-11-04 09:57:00,2022-11-04 09:57:00,101.325,101.995,101.47,2022-11-04 10:07:19,2022-11-04 10:07:00,2022-11-04 10:07:00,101.33,101.98,101.455,0.0049999999999954525,0.015000000000000568,-0.015000000000000568,799.9999999998408
1,2022-11-04 09:58:04,2022-11-04 09:58:02,2022-11-04 09:58:00,101.325,101.99,101.465,2022-11-04 10:09:00,2022-11-04 10:09:00,2022-11-04 10:09:00,101.325,101.97,101.44,0.0,0.01999999999999602,-0.025000000000005684,699.9999999996476
2,2022-11-04 09:59:01,2022-11-04 09:59:00,2022-11-04 09:59:00,101.325,101.99,101.465,2022-11-04 10:10:00,2022-11-04 10:10:02,2022-11-04 10:10:00,101.325,101.97,101.445,0.0,0.01999999999999602,-0.020000000000010232,799.9999999995566
3,2022-11-04 10:00:00,2022-11-04 10:00:00,2022-11-04 10:00:00,101.325,101.995,101.46,2022-11-04 10:11:05,2022-11-04 10:11:01,2022-11-04 10:11:00,101.33,101.975,101.45,0.0049999999999954525,0.020000000000010232,-0.009999999999990905,1200.000000000614
4,2022-11-04 10:01:02,2022-11-04 10:01:00,2022-11-04 10:01:00,101.325,101.99,101.455,2022-11-04 10:12:17,2022-11-04 10:12:09,2022-11-04 10:12:00,101.33,101.975,101.45,0.0049999999999954525,0.015000000000000568,-0.0049999999999954525,999.9999999999432
5,2022-11-04 10:02:08,2022-11-04 10:02:00,2022-11-04 10:02:00,101.325,101.99,101.455,2022-11-04 10:13:00,2022-11-04 10:13:01,2022-11-04 10:13:00,101.33,101.98,101.455,0.0049999999999954525,0.009999999999990905,0.0,799.9999999992724
6,2022-11-04 10:08:03,2022-11-04 10:08:00,2022-11-04 10:08:01,101.32,101.98,101.445,2022-11-04 10:14:03,2022-11-04 10:14:02,2022-11-04 10:14:02,101.33,101.975,101.455,0.010000000000005116,0.005000000000009663,0.010000000000005116,900.0000000008868
7,2022-11-04 10:22:01,2022-11-04 10:22:00,2022-11-04 10:22:00,101.325,101.995,101.475,2022-11-04 10:25:01,2022-11-04 10:25:00,2022-11-04 10:25:00,101.335,101.995,101.485,0.009999999999990905,0.0,0.010000000000005116,599.9999999997385
8,2022-11-04 10:23:00,2022-11-04 10:23:00,2022-11-04 10:23:00,101.325,101.995,101.47,2022-11-04 10:26:05,2022-11-04 10:26:00,2022-11-04 10:26:00,101.335,101.995,101.48,0.009999999999990905,0.0,0.010000000000005116,599.9999999997385
9,2022-11-04 10:24:02,2022-11-04 10:24:00,2022-11-04 10:24:02,101.33,102.0,101.475,2022-11-04 10:36:02,2022-11-04 10:36:01,2022-11-04 10:36:03,101.33,101.985,101.465,0.0,0.015000000000000568,-0.009999999999990905,700.000000000216
