,open_ts_time,open_tf_time,open_t_time,wind_ts_p,wind_tf_p,wind_t_p,close_ts_time,close_tf_time,close_t_time,unwind_ts_p,unwind_tf_p,unwind_t_p,diff_ts,diff_tf,diff_t,sum-2-3-1
0,2022-11-07 09:40:00,2022-11-07 09:40:00,2022-11-07 09:40:00,101.34,101.975,101.455,2022-11-07 09:44:00,2022-11-07 09:44:00,2022-11-07 09:44:00,101.335,101.95,101.44,-0.005000000000009663,0.024999999999991473,-0.015000000000000568,999.9999999990905
1,2022-11-07 09:41:02,2022-11-07 09:41:01,2022-11-07 09:41:00,101.335,101.97,101.445,2022-11-07 09:45:00,2022-11-07 09:45:01,2022-11-07 09:45:00,101.33,101.945,101.44,-0.0049999999999954525,0.025000000000005684,-0.0049999999999954525,1200.000000000614
2,2022-11-07 09:42:01,2022-11-07 09:42:02,2022-11-07 09:42:00,101.335,101.965,101.44,2022-11-07 09:46:00,2022-11-07 09:46:00,2022-11-07 09:46:00,101.335,101.955,101.45,0.0,0.010000000000005116,0.010000000000005116,800.0000000004093
3,2022-11-07 09:43:01,2022-11-07 09:43:00,2022-11-07 09:43:00,101.335,101.97,101.445,2022-11-07 09:47:17,2022-11-07 09:47:03,2022-11-07 09:47:00,101.34,101.955,101.45,0.005000000000009663,0.015000000000000568,0.005000000000009663,1200.000000000614
4,2022-11-07 09:54:00,2022-11-07 09:54:01,2022-11-07 09:54:01,101.335,101.975,101.465,2022-11-07 09:59:22,2022-11-07 09:59:02,2022-11-07 09:59:02,101.34,101.97,101.47,0.005000000000009663,0.0049999999999954525,0.0049999999999954525,600.0000000000227
5,2022-11-07 10:30:02,2022-11-07 10:30:00,2022-11-07 10:30:00,101.335,101.965,101.465,2022-11-07 10:51:00,2022-11-07 10:51:00,2022-11-07 10:51:00,101.34,101.955,101.46,0.005000000000009663,0.010000000000005116,-0.005000000000009663,700.0000000005002
6,2022-11-07 10:31:00,2022-11-07 10:31:02,2022-11-07 10:31:03,101.335,101.96,101.455,2022-11-07 10:52:01,2022-11-07 10:52:01,2022-11-07 10:52:00,101.34,101.955,101.46,0.005000000000009663,0.0049999999999954525,0.0049999999999954525,600.0000000000227
7,2022-11-07 10:35:02,2022-11-07 10:35:00,2022-11-07 10:35:01,101.335,101.97,101.475,2022-11-07 10:53:00,2022-11-07 10:53:00,2022-11-07 10:53:00,101.34,101.955,101.46,0.005000000000009663,0.015000000000000568,-0.015000000000000568,800.0000000004093
8,2022-11-07 10:37:00,2022-11-07 10:37:00,2022-11-07 10:37:00,101.33,101.96,101.46,2022-11-07 10:54:00,2022-11-07 10:54:01,2022-11-07 10:54:01,101.34,101.955,101.46,0.010000000000005116,0.0049999999999954525,0.0,699.9999999999318
9,2022-11-07 10:39:00,2022-11-07 10:39:00,2022-11-07 10:39:00,101.335,101.965,101.46,2022-11-07 10:55:03,2022-11-07 10:55:00,2022-11-07 10:55:00,101.34,101.955,101.46,0.005000000000009663,0.010000000000005116,0.0,800.0000000006935
10,2022-11-07 10:40:08,2022-11-07 10:40:04,2022-11-07 10:40:07,101.335,101.965,101.46,2022-11-07 10:56:06,2022-11-07 10:56:02,2022-11-07 10:56:00,101.34,101.955,101.465,0.005000000000009663,0.010000000000005116,0.005000000000009663,900.0000000008868
11,2022-11-07 10:41:02,2022-11-07 10:41:01,2022-11-07 10:41:00,101.335,101.97,101.47,2022-11-07 10:57:14,2022-11-07 10:57:00,2022-11-07 10:57:00,101.345,101.96,101.47,0.010000000000005116,0.010000000000005116,0.0,1000.0000000005116
12,2022-11-07 10:42:03,2022-11-07 10:42:01,2022-11-07 10:42:01,101.335,101.97,101.47,2022-11-07 11:02:00,2022-11-07 11:02:02,2022-11-07 11:02:00,101.345,101.975,101.485,0.010000000000005116,-0.0049999999999954525,0.015000000000000568,400.00000000048885
13,2022-11-07 10:46:02,2022-11-07 10:46:00,2022-11-07 10:46:03,101.335,101.97,101.475,2022-11-07 11:05:03,2022-11-07 11:05:06,2022-11-07 11:05:00,101.345,101.97,101.48,0.010000000000005116,0.0,0.005000000000009663,500.0000000003979
14,2022-11-07 10:47:16,2022-11-07 10:47:00,2022-11-07 10:47:00,101.335,101.97,101.465,2022-11-07 11:06:10,2022-11-07 11:06:02,2022-11-07 11:06:00,101.3475,101.975,101.49,0.012500000000002842,-0.0049999999999954525,0.024999999999991473,700.000000000216
15,2022-11-07 10:48:03,2022-11-07 10:48:00,2022-11-07 10:48:00,101.33,101.965,101.46,2022-11-07 11:08:07,2022-11-07 11:08:03,2022-11-07 11:08:02,101.34,101.965,101.48,0.010000000000005116,0.0,0.020000000000010232,800.0000000004093
16,2022-11-07 10:49:00,2022-11-07 10:49:00,2022-11-07 10:49:03,101.335,101.97,101.465,2022-11-07 11:09:00,2022-11-07 11:09:02,2022-11-07 11:09:00,101.34,101.965,101.475,0.005000000000009663,0.0049999999999954525,0.009999999999990905,699.9999999999318
17,2022-11-07 10:59:18,2022-11-07 10:59:00,2022-11-07 10:59:02,101.34,101.97,101.465,2022-11-07 11:11:00,2022-11-07 11:11:00,2022-11-07 11:11:03,101.34,101.96,101.475,0.0,0.010000000000005116,0.009999999999990905,800.000000000125
18,2022-11-07 11:00:02,2022-11-07 11:00:01,2022-11-07 11:00:00,101.34,101.97,101.46,2022-11-07 11:13:08,2022-11-07 11:13:01,2022-11-07 11:13:02,101.34,101.96,101.475,0.0,0.010000000000005116,0.015000000000000568,900.0000000003183
19,2022-11-07 11:12:01,2022-11-07 11:12:02,2022-11-07 11:12:00,101.335,101.965,101.465,2022-11-07 11:14:14,2022-11-07 11:14:00,2022-11-07 11:14:00,101.34,101.955,101.47,0.005000000000009663,0.010000000000005116,0.0049999999999954525,900.0000000006025
