,open_ts_time,open_tf_time,open_t_time,wind_ts_p,wind_tf_p,wind_t_p,close_ts_time,close_tf_time,close_t_time,unwind_ts_p,unwind_tf_p,unwind_t_p,diff_ts,diff_tf,diff_t,sum-2-3-1
0,2022-11-09 09:53:00,2022-11-09 09:53:00,2022-11-09 09:53:01,101.33,101.975,101.555,2022-11-09 10:03:00,2022-11-09 10:03:00,2022-11-09 10:03:00,101.335,101.965,101.545,0.0049999999999954525,0.009999999999990905,-0.010000000000005116,599.9999999991701
1,2022-11-09 09:55:00,2022-11-09 09:55:02,2022-11-09 09:55:01,101.33,101.98,101.555,2022-11-09 10:04:02,2022-11-09 10:04:00,2022-11-09 10:04:00,101.335,101.965,101.54,0.0049999999999954525,0.015000000000000568,-0.015000000000000568,799.9999999998408
2,2022-11-09 09:56:07,2022-11-09 09:56:00,2022-11-09 09:56:00,101.33,101.975,101.55,2022-11-09 10:06:01,2022-11-09 10:06:00,2022-11-09 10:06:00,101.335,101.965,101.545,0.0049999999999954525,0.009999999999990905,-0.0049999999999954525,699.9999999993634
3,2022-11-09 09:57:04,2022-11-09 09:57:03,2022-11-09 09:57:00,101.33,101.98,101.555,2022-11-09 10:07:01,2022-11-09 10:07:01,2022-11-09 10:07:00,101.335,101.965,101.55,0.0049999999999954525,0.015000000000000568,-0.005000000000009663,999.9999999996589
4,2022-11-09 09:58:01,2022-11-09 09:58:00,2022-11-09 09:58:00,101.33,101.975,101.55,2022-11-09 10:13:00,2022-11-09 10:13:00,2022-11-09 10:13:00,101.33,101.965,101.555,0.0,0.009999999999990905,0.005000000000009663,699.9999999996476
5,2022-11-09 09:59:00,2022-11-09 09:59:02,2022-11-09 09:59:00,101.33,101.98,101.55,2022-11-09 10:14:01,2022-11-09 10:14:00,2022-11-09 10:14:00,101.335,101.97,101.56,0.0049999999999954525,0.010000000000005116,0.010000000000005116,1000.0000000002274
6,2022-11-09 10:10:00,2022-11-09 10:10:00,2022-11-09 10:10:00,101.325,101.97,101.54,2022-11-09 10:15:03,2022-11-09 10:15:02,2022-11-09 10:15:00,101.335,101.975,101.565,0.009999999999990905,-0.0049999999999954525,0.024999999999991473,599.9999999997385
7,2022-11-09 10:11:02,2022-11-09 10:11:02,2022-11-09 10:11:00,101.325,101.97,101.54,2022-11-09 10:16:01,2022-11-09 10:16:09,2022-11-09 10:16:00,101.3325,101.97,101.56,0.007499999999993179,0.0,0.01999999999999602,699.9999999996476
8,2022-11-09 10:12:05,2022-11-09 10:12:00,2022-11-09 10:12:01,101.325,101.97,101.54,2022-11-09 10:19:00,2022-11-09 10:19:00,2022-11-09 10:19:00,101.33,101.96,101.55,0.0049999999999954525,0.010000000000005116,0.009999999999990905,999.9999999999432
9,2022-11-09 10:40:01,2022-11-09 10:40:00,2022-11-09 10:40:01,101.32,101.955,101.54,2022-11-09 10:43:02,2022-11-09 10:43:00,2022-11-09 10:43:00,101.325,101.955,101.56,0.005000000000009663,0.0,0.01999999999999602,600.000000000307
