,open_ts_time,open_tf_time,open_t_time,wind_ts_p,wind_tf_p,wind_t_p,close_ts_time,close_tf_time,close_t_time,unwind_ts_p,unwind_tf_p,unwind_t_p,diff_ts,diff_tf,diff_t,sum-2-3-1
0,2022-11-11 10:11:02,2022-11-11 10:11:03,2022-11-11 10:11:00,101.315,101.965,101.56,2022-11-11 10:22:00,2022-11-11 10:22:04,2022-11-11 10:22:00,101.32,101.965,101.565,0.0049999999999954525,0.0,0.0049999999999954525,299.99999999972715
1,2022-11-11 10:13:00,2022-11-11 10:13:00,2022-11-11 10:13:00,101.315,101.965,101.555,2022-11-11 10:23:13,2022-11-11 10:23:00,2022-11-11 10:23:00,101.32,101.965,101.565,0.0049999999999954525,0.0,0.009999999999990905,399.9999999996362
2,2022-11-11 10:14:05,2022-11-11 10:14:04,2022-11-11 10:14:00,101.315,101.975,101.565,2022-11-11 10:24:00,2022-11-11 10:24:00,2022-11-11 10:24:00,101.32,101.96,101.56,0.0049999999999954525,0.015000000000000568,-0.0049999999999954525,999.9999999999432
3,2022-11-11 10:15:02,2022-11-11 10:15:00,2022-11-11 10:15:02,101.315,101.98,101.57,2022-11-11 10:25:00,2022-11-11 10:25:00,2022-11-11 10:25:00,101.32,101.965,101.57,0.0049999999999954525,0.015000000000000568,0.0,1099.9999999998522
4,2022-11-11 10:16:00,2022-11-11 10:16:00,2022-11-11 10:16:01,101.315,101.98,101.565,2022-11-11 10:26:04,2022-11-11 10:26:00,2022-11-11 10:26:00,101.32,101.965,101.57,0.0049999999999954525,0.015000000000000568,0.0049999999999954525,1199.9999999997613
5,2022-11-11 10:17:00,2022-11-11 10:17:01,2022-11-11 10:17:00,101.315,101.98,101.565,2022-11-11 10:27:04,2022-11-11 10:27:00,2022-11-11 10:27:00,101.32,101.96,101.565,0.0049999999999954525,0.020000000000010232,0.0,1400.000000000432
6,2022-11-11 10:18:01,2022-11-11 10:18:00,2022-11-11 10:18:01,101.315,101.975,101.565,2022-11-11 10:28:00,2022-11-11 10:28:00,2022-11-11 10:28:00,101.315,101.96,101.565,0.0,0.015000000000000568,0.0,900.0000000000341
7,2022-11-11 10:34:02,2022-11-11 10:34:00,2022-11-11 10:34:00,101.31,101.955,101.535,2022-11-11 10:45:01,2022-11-11 10:45:00,2022-11-11 10:45:00,101.295,101.895,101.46,-0.015000000000000568,0.060000000000002274,-0.07500000000000284,1500.0000000000568
8,2022-11-11 10:36:00,2022-11-11 10:36:01,2022-11-11 10:36:00,101.31,101.95,101.525,2022-11-11 10:46:01,2022-11-11 10:46:00,2022-11-11 10:46:00,101.3,101.9,101.47,-0.010000000000005116,0.04999999999999716,-0.05500000000000682,1499.9999999994884
9,2022-11-11 10:37:00,2022-11-11 10:37:02,2022-11-11 10:37:01,101.31,101.95,101.53,2022-11-11 10:47:03,2022-11-11 10:47:00,2022-11-11 10:47:00,101.3,101.9,101.47,-0.010000000000005116,0.04999999999999716,-0.060000000000002274,1399.9999999995794
10,2022-11-11 10:38:02,2022-11-11 10:38:01,2022-11-11 10:38:00,101.31,101.95,101.525,2022-11-11 10:48:00,2022-11-11 10:48:00,2022-11-11 10:48:00,101.295,101.89,101.465,-0.015000000000000568,0.060000000000002274,-0.060000000000002274,1800.0000000000682
