,open_ts_time,open_t_time,wind_ts_p,wind_t_p,close_ts_time,close_t_time,unwind_ts_p,unwind_t_p,diff_ts,diff_t,sum
0,2022-11-11 09:42:03,2022-11-11 09:42:00,101.325,-101.61,2022-11-11 09:45:00,2022-11-11 09:45:00,-101.33,101.605,0.0049999999999954525,0.0049999999999954525,0.009999999999990905
1,2022-11-11 09:43:02,2022-11-11 09:43:00,101.325,-101.61,2022-11-11 09:45:00,2022-11-11 09:45:00,-101.33,101.605,0.0049999999999954525,0.0049999999999954525,0.009999999999990905
2,2022-11-11 09:47:02,2022-11-11 09:47:00,-101.325,101.59,2022-11-11 09:59:18,2022-11-11 09:59:00,101.32,-101.59,0.005000000000009663,0.0,0.005000000000009663
3,2022-11-11 09:48:03,2022-11-11 09:48:00,-101.325,101.595,2022-11-11 09:59:18,2022-11-11 09:59:00,101.32,-101.59,0.005000000000009663,-0.0049999999999954525,1.4210854715202004e-14
4,2022-11-11 09:49:03,2022-11-11 09:49:00,-101.325,101.59,2022-11-11 09:59:18,2022-11-11 09:59:00,101.32,-101.59,0.005000000000009663,0.0,0.005000000000009663
5,2022-11-11 09:50:04,2022-11-11 09:50:00,-101.325,101.595,2022-11-11 09:59:18,2022-11-11 09:59:00,101.32,-101.59,0.005000000000009663,-0.0049999999999954525,1.4210854715202004e-14
6,2022-11-11 09:51:00,2022-11-11 09:51:00,-101.32,101.57,2022-11-11 09:59:18,2022-11-11 09:59:00,101.32,-101.59,0.0,0.020000000000010232,0.020000000000010232
7,2022-11-11 09:52:00,2022-11-11 09:52:00,-101.32,101.575,2022-11-11 09:59:18,2022-11-11 09:59:00,101.32,-101.59,0.0,0.015000000000000568,0.015000000000000568
8,2022-11-11 09:53:04,2022-11-11 09:53:00,-101.32,101.57,2022-11-11 09:59:18,2022-11-11 09:59:00,101.32,-101.59,0.0,0.020000000000010232,0.020000000000010232
9,2022-11-11 09:54:04,2022-11-11 09:54:01,-101.32,101.57,2022-11-11 09:59:18,2022-11-11 09:59:00,101.32,-101.59,0.0,0.020000000000010232,0.020000000000010232
10,2022-11-11 09:55:01,2022-11-11 09:55:00,-101.32,101.58,2022-11-11 09:59:18,2022-11-11 09:59:00,101.32,-101.59,0.0,0.010000000000005116,0.010000000000005116
11,2022-11-11 09:56:01,2022-11-11 09:56:08,-101.32,101.57,2022-11-11 09:59:18,2022-11-11 09:59:00,101.32,-101.59,0.0,0.020000000000010232,0.020000000000010232
12,2022-11-11 09:57:05,2022-11-11 09:57:05,-101.32,101.575,2022-11-11 09:59:18,2022-11-11 09:59:00,101.32,-101.59,0.0,0.015000000000000568,0.015000000000000568
13,2022-11-11 10:05:04,2022-11-11 10:05:02,-101.32,101.57,2022-11-11 10:18:01,2022-11-11 10:18:01,101.315,-101.565,0.0049999999999954525,-0.0049999999999954525,0.0
14,2022-11-11 10:10:03,2022-11-11 10:10:01,-101.32,101.57,2022-11-11 10:18:01,2022-11-11 10:18:01,101.315,-101.565,0.0049999999999954525,-0.0049999999999954525,0.0
