,open_ts_time,open_tf_time,open_t_time,wind_ts_p,wind_tf_p,wind_t_p,close_ts_time,close_tf_time,close_t_time,unwind_ts_p,unwind_tf_p,unwind_t_p,diff_ts,diff_tf,diff_t,sum-2-3-1
0,2022-10-10 09:47:01,2022-10-10 09:47:00,2022-10-10 09:47:00,101.125,101.545,100.76,2022-10-10 09:57:05,2022-10-10 09:57:00,2022-10-10 09:57:00,101.12,101.56,100.76,0.0049999999999954525,0.015000000000000568,0.3649999999999949,8599.999999999569
1,2022-10-10 09:49:06,2022-10-10 09:49:01,2022-10-10 09:49:00,101.125,101.55,100.76,2022-10-10 09:58:05,2022-10-10 09:58:01,2022-10-10 09:58:00,101.12,101.565,100.76,0.0049999999999954525,0.015000000000000568,0.3649999999999949,8599.999999999569
2,2022-10-10 09:50:02,2022-10-10 09:50:02,2022-10-10 09:50:01,101.125,101.545,100.77,2022-10-10 09:59:03,2022-10-10 09:59:03,2022-10-10 09:59:00,101.12,101.565,100.755,0.0049999999999954525,0.01999999999999602,0.37000000000000455,8999.999999999489
3,2022-10-10 09:52:00,2022-10-10 09:52:00,2022-10-10 09:52:01,101.12,101.545,100.76,2022-10-10 10:00:01,2022-10-10 10:00:00,2022-10-10 10:00:00,101.12,101.565,100.76,0.0,0.01999999999999602,0.35999999999999943,8399.99999999975
4,2022-10-10 09:53:09,2022-10-10 09:53:00,2022-10-10 09:53:01,101.12,101.545,100.765,2022-10-10 10:10:01,2022-10-10 10:10:00,2022-10-10 10:10:00,101.13,101.59,100.79,-0.009999999999990905,0.045000000000001705,0.3299999999999983,8500.000000000795
5,2022-10-10 09:55:00,2022-10-10 09:55:03,2022-10-10 09:55:01,101.12,101.545,100.765,2022-10-10 10:11:00,2022-10-10 10:11:00,2022-10-10 10:11:00,101.125,101.585,100.78,-0.0049999999999954525,0.03999999999999204,0.3400000000000034,8799.999999999955
6,2022-10-10 10:03:00,2022-10-10 10:03:00,2022-10-10 10:03:00,101.13,101.56,100.795,2022-10-10 10:12:00,2022-10-10 10:12:10,2022-10-10 10:12:01,101.13,101.585,100.785,0.0,0.024999999999991473,0.34499999999999886,8399.999999999465
7,2022-10-10 10:04:00,2022-10-10 10:04:00,2022-10-10 10:04:00,101.13,101.56,100.795,2022-10-10 10:14:00,2022-10-10 10:14:00,2022-10-10 10:14:00,101.13,101.585,100.775,0.0,0.024999999999991473,0.35499999999998977,8599.999999999283
8,2022-10-10 10:06:01,2022-10-10 10:06:00,2022-10-10 10:06:00,101.135,101.565,100.8,2022-10-10 10:15:00,2022-10-10 10:15:00,2022-10-10 10:15:01,101.13,101.585,100.78,0.005000000000009663,0.01999999999999602,0.355000000000004,8700.000000000615
9,2022-10-10 10:28:08,2022-10-10 10:28:03,2022-10-10 10:28:00,101.15,101.595,100.815,2022-10-10 10:29:06,2022-10-10 10:29:09,2022-10-10 10:29:01,101.145,101.605,100.805,0.005000000000009663,0.010000000000005116,0.34499999999999886,7900.000000001057
10,2022-10-10 10:36:00,2022-10-10 10:36:00,2022-10-10 10:36:00,101.15,101.6,100.835,2022-10-10 10:49:02,2022-10-10 10:49:00,2022-10-10 10:49:01,101.135,101.6,100.81,0.015000000000000568,0.0,0.3400000000000034,8000.000000000114
11,2022-10-10 10:37:00,2022-10-10 10:37:00,2022-10-10 10:37:00,101.145,101.6,100.835,2022-10-10 10:56:01,2022-10-10 10:56:00,2022-10-10 10:56:01,101.14,101.61,100.825,0.0049999999999954525,0.010000000000005116,0.3199999999999932,7399.999999999807
12,2022-10-10 10:38:00,2022-10-10 10:38:08,2022-10-10 10:38:01,101.145,101.6,100.83,2022-10-10 11:17:01,2022-10-10 11:17:04,2022-10-10 11:17:05,101.14,101.605,100.82,0.0049999999999954525,0.005000000000009663,0.32500000000000284,7200.000000000273
13,2022-10-10 10:43:00,2022-10-10 10:43:01,2022-10-10 10:43:00,101.145,101.59,100.825,2022-10-10 13:06:02,2022-10-10 13:06:03,2022-10-10 13:06:01,101.14,101.6,100.825,0.0049999999999954525,0.009999999999990905,0.3199999999999932,7399.999999998954
14,2022-10-10 10:44:24,2022-10-10 10:44:00,2022-10-10 10:44:00,101.145,101.59,100.825,2022-10-10 13:12:00,2022-10-10 13:12:05,2022-10-10 13:12:01,101.145,101.615,100.835,0.0,0.024999999999991473,0.3100000000000023,7699.999999999534
15,2022-10-10 10:45:07,2022-10-10 10:45:01,2022-10-10 10:45:01,101.145,101.59,100.825,2022-10-10 13:13:03,2022-10-10 13:13:00,2022-10-10 13:13:02,101.145,101.615,100.84,0.0,0.024999999999991473,0.3049999999999926,7599.9999999993415
16,2022-10-10 10:51:10,2022-10-10 10:51:00,2022-10-10 10:51:06,101.145,101.585,100.83,2022-10-10 13:14:02,2022-10-10 13:14:15,2022-10-10 13:14:00,101.145,101.615,100.845,0.0,0.030000000000001137,0.29999999999999716,7800.000000000012
17,2022-10-10 10:53:01,2022-10-10 10:53:00,2022-10-10 10:53:00,101.145,101.595,100.835,2022-10-10 13:15:01,2022-10-10 13:15:00,2022-10-10 13:15:00,101.145,101.615,100.85,0.0,0.01999999999999602,0.2950000000000017,7099.999999999796
18,2022-10-10 10:59:00,2022-10-10 10:59:00,2022-10-10 10:59:00,101.15,101.605,100.85,2022-10-10 13:16:10,2022-10-10 13:16:02,2022-10-10 13:16:00,101.15,101.63,100.85,0.0,0.024999999999991473,0.30000000000001137,7499.999999999716
19,2022-10-10 11:00:02,2022-10-10 11:00:01,2022-10-10 11:00:00,101.15,101.6,100.855,2022-10-10 13:17:01,2022-10-10 13:17:01,2022-10-10 13:17:00,101.155,101.63,100.855,-0.0049999999999954525,0.030000000000001137,0.2950000000000017,7300.000000000467
20,2022-10-10 11:01:00,2022-10-10 11:01:00,2022-10-10 11:01:00,101.15,101.6,100.845,2022-10-10 13:18:10,2022-10-10 13:18:00,2022-10-10 13:18:00,101.155,101.635,100.86,-0.0049999999999954525,0.0350000000000108,0.29000000000000625,7500.000000001137
21,2022-10-10 11:05:00,2022-10-10 11:05:01,2022-10-10 11:05:00,101.15,101.605,100.855,2022-10-10 13:19:01,2022-10-10 13:19:00,2022-10-10 13:19:00,101.155,101.635,100.855,-0.0049999999999954525,0.030000000000001137,0.2950000000000017,7300.000000000467
22,2022-10-10 11:19:00,2022-10-10 11:19:00,2022-10-10 11:19:04,101.15,101.585,100.825,2022-10-10 13:24:02,2022-10-10 13:24:02,2022-10-10 13:24:01,101.155,101.625,100.855,-0.0049999999999954525,0.04000000000000625,0.2950000000000017,7900.000000000773
23,2022-10-10 13:11:01,2022-10-10 13:11:02,2022-10-10 13:11:05,101.15,101.6,100.84,2022-10-10 13:25:03,2022-10-10 13:25:06,2022-10-10 13:25:00,101.155,101.63,100.845,-0.0049999999999954525,0.030000000000001137,0.3050000000000068,7500.000000000568
24,2022-10-10 13:23:04,2022-10-10 13:23:01,2022-10-10 13:23:00,101.16,101.61,100.865,2022-10-10 13:29:02,2022-10-10 13:29:00,2022-10-10 13:29:00,101.155,101.625,100.85,0.0049999999999954525,0.015000000000000568,0.3100000000000023,7499.999999999716
25,2022-10-10 13:28:04,2022-10-10 13:28:00,2022-10-10 13:28:00,101.16,101.61,100.855,2022-10-10 13:30:31,2022-10-10 13:30:00,2022-10-10 13:30:00,101.155,101.63,100.855,0.0049999999999954525,0.01999999999999602,0.3049999999999926,7699.999999999251
26,2022-10-10 13:34:42,2022-10-10 13:34:02,2022-10-10 13:34:01,101.165,101.62,100.87,2022-10-10 13:48:00,2022-10-10 13:48:04,2022-10-10 13:48:01,101.15,101.61,100.835,0.015000000000000568,-0.010000000000005116,0.3300000000000125,7199.999999999989
27,2022-10-10 13:35:00,2022-10-10 13:35:01,2022-10-10 13:35:00,101.165,101.62,100.87,2022-10-10 13:49:08,2022-10-10 13:49:08,2022-10-10 13:49:00,101.15,101.615,100.835,0.015000000000000568,-0.005000000000009663,0.3300000000000125,7499.999999999716
28,2022-10-10 13:36:14,2022-10-10 13:36:00,2022-10-10 13:36:00,101.165,101.62,100.87,2022-10-10 13:53:00,2022-10-10 13:53:00,2022-10-10 13:53:01,101.155,101.62,100.84,0.010000000000005116,0.0,0.32500000000000284,7300.000000000466
29,2022-10-10 13:38:00,2022-10-10 13:38:04,2022-10-10 13:38:00,101.165,101.61,100.87,2022-10-10 13:59:03,2022-10-10 13:59:03,2022-10-10 13:59:02,101.155,101.625,100.845,0.010000000000005116,0.015000000000000568,0.3200000000000074,8100.000000000591
30,2022-10-10 13:39:00,2022-10-10 13:39:00,2022-10-10 13:39:00,101.16,101.605,100.855,2022-10-10 14:19:01,2022-10-10 14:19:00,2022-10-10 14:19:01,101.14,101.585,100.795,0.01999999999999602,-0.020000000000010232,0.3649999999999949,7699.999999998966
31,2022-10-10 13:40:01,2022-10-10 13:40:01,2022-10-10 13:40:00,101.16,101.61,100.865,2022-10-10 14:24:00,2022-10-10 14:24:04,2022-10-10 14:24:00,101.15,101.6,100.825,0.009999999999990905,-0.010000000000005116,0.33499999999999375,6899.9999999988395
