,open_tf_time,open_t_time,wind_tf_p,wind_t_p,close_tf_time,close_t_time,unwind_tf_p,unwind_t_p,diff_tf,diff_t,sum
0,2022-10-10 09:40:01,2022-10-10 09:40:00,-101.565,100.7525,2022-10-10 10:11:00,2022-10-10 10:11:00,101.58,-100.795,-0.015000000000000568,0.04250000000000398,0.02750000000000341
1,2022-10-10 09:41:00,2022-10-10 09:41:00,-101.57,100.76,2022-10-10 10:11:00,2022-10-10 10:11:00,101.58,-100.795,-0.010000000000005116,0.03499999999999659,0.024999999999991473
2,2022-10-10 09:42:00,2022-10-10 09:42:00,-101.56,100.76,2022-10-10 10:11:00,2022-10-10 10:11:00,101.58,-100.795,-0.01999999999999602,0.03499999999999659,0.015000000000000568
3,2022-10-10 09:45:00,2022-10-10 09:45:00,101.55,-100.755,2022-10-10 10:11:00,2022-10-10 10:11:00,-101.585,100.79,0.03499999999999659,-0.0350000000000108,-1.4210854715202004e-14
4,2022-10-10 09:46:00,2022-10-10 09:46:00,101.55,-100.755,2022-10-10 10:11:00,2022-10-10 10:11:00,-101.585,100.79,0.03499999999999659,-0.0350000000000108,-1.4210854715202004e-14
5,2022-10-10 09:47:00,2022-10-10 09:47:00,101.55,-100.75,2022-10-10 10:11:00,2022-10-10 10:11:00,-101.585,100.79,0.03499999999999659,-0.04000000000000625,-0.005000000000009663
6,2022-10-10 09:51:00,2022-10-10 09:51:00,101.55,-100.76,2022-10-10 10:11:00,2022-10-10 10:11:00,-101.585,100.79,0.03499999999999659,-0.030000000000001137,0.0049999999999954525
7,2022-10-10 09:52:00,2022-10-10 09:52:01,101.55,-100.76,2022-10-10 10:11:00,2022-10-10 10:11:00,-101.585,100.79,0.03499999999999659,-0.030000000000001137,0.0049999999999954525
8,2022-10-10 09:53:00,2022-10-10 09:53:01,101.55,-100.76,2022-10-10 10:11:00,2022-10-10 10:11:00,-101.585,100.79,0.03499999999999659,-0.030000000000001137,0.0049999999999954525
9,2022-10-10 09:54:00,2022-10-10 09:54:00,101.545,-100.755,2022-10-10 10:11:00,2022-10-10 10:11:00,-101.585,100.79,0.03999999999999204,-0.0350000000000108,0.004999999999981242
10,2022-10-10 09:55:03,2022-10-10 09:55:01,101.545,-100.76,2022-10-10 10:11:00,2022-10-10 10:11:00,-101.585,100.79,0.03999999999999204,-0.030000000000001137,0.009999999999990905
11,2022-10-10 09:56:01,2022-10-10 09:56:03,101.55,-100.765,2022-10-10 10:11:00,2022-10-10 10:11:00,-101.585,100.79,0.03499999999999659,-0.025000000000005684,0.009999999999990905
12,2022-10-10 09:57:00,2022-10-10 09:57:00,101.555,-100.765,2022-10-10 10:11:00,2022-10-10 10:11:00,-101.585,100.79,0.029999999999986926,-0.025000000000005684,0.004999999999981242
13,2022-10-10 09:58:01,2022-10-10 09:58:00,101.555,-100.765,2022-10-10 10:11:00,2022-10-10 10:11:00,-101.585,100.79,0.029999999999986926,-0.025000000000005684,0.004999999999981242
14,2022-10-10 10:05:01,2022-10-10 10:05:00,101.565,-100.79,2022-10-10 10:11:00,2022-10-10 10:11:00,-101.585,100.79,0.01999999999999602,0.0,0.01999999999999602
15,2022-10-10 10:06:00,2022-10-10 10:06:00,101.57,-100.795,2022-10-10 10:11:00,2022-10-10 10:11:00,-101.585,100.79,0.015000000000000568,0.0049999999999954525,0.01999999999999602
16,2022-10-10 10:07:00,2022-10-10 10:07:00,101.5675,-100.785,2022-10-10 10:11:00,2022-10-10 10:11:00,-101.585,100.79,0.017499999999998295,-0.005000000000009663,0.012499999999988631
17,2022-10-10 10:08:01,2022-10-10 10:08:00,101.575,-100.795,2022-10-10 10:11:00,2022-10-10 10:11:00,-101.585,100.79,0.009999999999990905,0.0049999999999954525,0.014999999999986358
18,2022-10-10 10:09:02,2022-10-10 10:09:02,101.575,-100.795,2022-10-10 10:11:00,2022-10-10 10:11:00,-101.585,100.79,0.009999999999990905,0.0049999999999954525,0.014999999999986358
19,2022-10-10 10:12:10,2022-10-10 10:12:01,-101.585,100.79,2022-10-10 10:20:00,2022-10-10 10:20:00,101.58,-100.805,0.0049999999999954525,0.015000000000000568,0.01999999999999602
20,2022-10-10 10:13:03,2022-10-10 10:13:03,-101.58,100.785,2022-10-10 10:20:00,2022-10-10 10:20:00,101.58,-100.805,0.0,0.020000000000010232,0.020000000000010232
21,2022-10-10 10:14:00,2022-10-10 10:14:00,-101.58,100.78,2022-10-10 10:20:00,2022-10-10 10:20:00,101.58,-100.805,0.0,0.025000000000005684,0.025000000000005684
22,2022-10-10 10:15:00,2022-10-10 10:15:01,-101.585,100.785,2022-10-10 10:20:00,2022-10-10 10:20:00,101.58,-100.805,0.0049999999999954525,0.020000000000010232,0.025000000000005684
23,2022-10-10 10:16:01,2022-10-10 10:16:00,-101.58,100.78,2022-10-10 10:20:00,2022-10-10 10:20:00,101.58,-100.805,0.0,0.025000000000005684,0.025000000000005684
