,open_ts_time,open_tf_time,open_t_time,wind_ts_p,wind_tf_p,wind_t_p,close_ts_time,close_tf_time,close_t_time,unwind_ts_p,unwind_tf_p,unwind_t_p,diff_ts,diff_tf,diff_t,sum-2-3-1
0,2022-10-11 09:53:00,2022-10-11 09:53:00,2022-10-11 09:53:00,101.185,101.67,100.94,2022-10-11 09:59:00,2022-10-11 09:59:01,2022-10-11 09:59:00,101.195,101.655,100.95,0.009999999999990905,0.015000000000000568,0.010000000000005116,1899.9999999994088
1,2022-10-11 09:54:02,2022-10-11 09:54:00,2022-10-11 09:54:00,101.185,101.665,100.935,2022-10-11 10:00:00,2022-10-11 10:00:00,2022-10-11 10:00:00,101.195,101.645,100.95,0.009999999999990905,0.020000000000010232,0.015000000000000568,2299.9999999998977
2,2022-10-11 09:55:04,2022-10-11 09:55:00,2022-10-11 09:55:01,101.185,101.67,100.945,2022-10-11 10:01:00,2022-10-11 10:01:00,2022-10-11 10:01:00,101.185,101.635,100.94,0.0,0.03499999999999659,-0.0049999999999954525,1999.9999999998863
3,2022-10-11 09:56:02,2022-10-11 09:56:00,2022-10-11 09:56:01,101.19,101.665,100.94,2022-10-11 10:02:00,2022-10-11 10:02:00,2022-10-11 10:02:00,101.185,101.635,100.94,-0.0049999999999954525,0.030000000000001137,0.0,1400.000000000432
4,2022-10-11 10:13:00,2022-10-11 10:13:04,2022-10-11 10:13:00,101.175,101.645,100.92,2022-10-11 10:15:00,2022-10-11 10:15:01,2022-10-11 10:15:00,101.185,101.635,100.945,0.010000000000005116,0.009999999999990905,0.024999999999991473,1899.999999999693
5,2022-10-11 10:27:04,2022-10-11 10:27:00,2022-10-11 10:27:01,101.18,101.64,100.925,2022-10-11 10:28:06,2022-10-11 10:28:09,2022-10-11 10:28:03,101.185,101.635,100.94,0.0049999999999954525,0.0049999999999954525,0.015000000000000568,999.9999999993747
6,2022-10-11 10:31:00,2022-10-11 10:31:02,2022-10-11 10:31:00,101.175,101.64,100.915,2022-10-11 10:47:01,2022-10-11 10:47:00,2022-10-11 10:47:00,101.175,101.6,100.895,0.0,0.04000000000000625,-0.020000000000010232,2000.0000000001705
7,2022-10-11 10:35:00,2022-10-11 10:35:01,2022-10-11 10:35:04,101.165,101.625,100.89,2022-10-11 10:48:00,2022-10-11 10:48:00,2022-10-11 10:48:00,101.175,101.6,100.885,0.009999999999990905,0.025000000000005684,-0.0049999999999954525,2199.9999999997044
8,2022-10-11 10:36:00,2022-10-11 10:36:00,2022-10-11 10:36:00,101.165,101.625,100.89,2022-10-11 10:49:03,2022-10-11 10:49:00,2022-10-11 10:49:02,101.17,101.6,100.89,0.0049999999999954525,0.025000000000005684,0.0,1899.9999999999773
9,2022-10-11 10:39:01,2022-10-11 10:39:00,2022-10-11 10:39:01,101.165,101.615,100.87,2022-10-11 10:50:03,2022-10-11 10:50:00,2022-10-11 10:50:00,101.17,101.6,100.885,0.0049999999999954525,0.015000000000000568,0.015000000000000568,1599.9999999996817
