,open_ts_time,open_tf_time,open_t_time,wind_ts_p,wind_tf_p,wind_t_p,close_ts_time,close_tf_time,close_t_time,unwind_ts_p,unwind_tf_p,unwind_t_p,diff_ts,diff_tf,diff_t,sum-2-3-1
0,2022-10-11 09:42:01,2022-10-11 09:42:00,2022-10-11 09:42:00,101.19,101.65,100.93,2022-10-11 09:53:00,2022-10-11 09:53:00,2022-10-11 09:53:00,101.185,101.66,100.945,0.0049999999999954525,0.009999999999990905,-0.014999999999986358,499.99999999954525
1,2022-10-11 09:43:00,2022-10-11 09:43:00,2022-10-11 09:43:00,101.195,101.65,100.94,2022-10-11 09:54:02,2022-10-11 09:54:00,2022-10-11 09:54:00,101.185,101.66,100.94,0.009999999999990905,0.009999999999990905,0.0,999.9999999990905
2,2022-10-11 09:44:02,2022-10-11 09:44:00,2022-10-11 09:44:00,101.195,101.65,100.945,2022-10-11 09:55:04,2022-10-11 09:55:00,2022-10-11 09:55:01,101.19,101.665,100.95,0.0049999999999954525,0.015000000000000568,-0.005000000000009663,999.9999999996589
3,2022-10-11 09:45:00,2022-10-11 09:45:00,2022-10-11 09:45:00,101.195,101.655,100.95,2022-10-11 09:56:02,2022-10-11 09:56:00,2022-10-11 09:56:01,101.19,101.665,100.945,0.0049999999999954525,0.010000000000005116,0.005000000000009663,900.0000000003183
4,2022-10-11 09:46:03,2022-10-11 09:46:01,2022-10-11 09:46:01,101.195,101.655,100.95,2022-10-11 10:13:00,2022-10-11 10:13:04,2022-10-11 10:13:00,101.175,101.64,100.92,0.01999999999999602,-0.015000000000000568,0.030000000000001137,499.99999999982947
5,2022-10-11 09:50:00,2022-10-11 09:50:00,2022-10-11 09:50:00,101.2,101.675,100.985,2022-10-11 10:27:04,2022-10-11 10:27:00,2022-10-11 10:27:01,101.18,101.64,100.93,0.01999999999999602,-0.03499999999999659,0.05499999999999261,-200.00000000010232
6,2022-10-11 09:52:01,2022-10-11 09:52:00,2022-10-11 09:52:00,101.195,101.665,100.965,2022-10-11 10:31:00,2022-10-11 10:31:02,2022-10-11 10:31:00,101.175,101.635,100.925,0.01999999999999602,-0.030000000000001137,0.04000000000000625,-200.00000000010232
7,2022-10-11 10:00:00,2022-10-11 10:00:00,2022-10-11 10:00:00,101.195,101.655,100.95,2022-10-11 10:35:00,2022-10-11 10:35:01,2022-10-11 10:35:04,101.17,101.625,100.905,0.024999999999991473,-0.030000000000001137,0.045000000000001705,99.99999999962483
8,2022-10-11 10:01:00,2022-10-11 10:01:00,2022-10-11 10:01:00,101.185,101.645,100.94,2022-10-11 10:36:00,2022-10-11 10:36:00,2022-10-11 10:36:00,101.17,101.62,100.895,0.015000000000000568,-0.024999999999991473,0.045000000000001705,5.684341886080801e-10
9,2022-10-11 10:02:00,2022-10-11 10:02:00,2022-10-11 10:02:00,101.185,101.635,100.935,2022-10-11 10:39:01,2022-10-11 10:39:00,2022-10-11 10:39:01,101.165,101.61,100.88,0.01999999999999602,-0.025000000000005684,0.05500000000000682,399.9999999996362
