,open_ts_time,open_tf_time,open_t_time,wind_ts_p,wind_tf_p,wind_t_p,close_ts_time,close_tf_time,close_t_time,unwind_ts_p,unwind_tf_p,unwind_t_p,diff_ts,diff_tf,diff_t,sum-2-3-1
0,2022-10-11 09:42:01,2022-10-11 09:42:00,2022-10-11 09:42:00,101.19,101.645,100.94,2022-10-11 09:53:00,2022-10-11 09:53:00,2022-10-11 09:53:00,101.185,101.67,100.94,0.0049999999999954525,0.025000000000005684,0.25,6899.999999999977
1,2022-10-11 09:43:00,2022-10-11 09:43:00,2022-10-11 09:43:00,101.195,101.65,100.945,2022-10-11 09:54:02,2022-10-11 09:54:00,2022-10-11 09:54:00,101.185,101.665,100.935,0.009999999999990905,0.015000000000000568,0.2599999999999909,6899.999999999125
2,2022-10-11 09:44:02,2022-10-11 09:44:00,2022-10-11 09:44:00,101.195,101.65,100.955,2022-10-11 09:55:04,2022-10-11 09:55:00,2022-10-11 09:55:01,101.185,101.67,100.945,0.009999999999990905,0.01999999999999602,0.25,6999.999999999034
3,2022-10-11 09:45:00,2022-10-11 09:45:00,2022-10-11 09:45:00,101.195,101.655,100.955,2022-10-11 09:56:02,2022-10-11 09:56:00,2022-10-11 09:56:01,101.19,101.665,100.94,0.0049999999999954525,0.010000000000005116,0.25499999999999545,6099.999999999853
4,2022-10-11 09:46:03,2022-10-11 09:46:01,2022-10-11 09:46:01,101.195,101.65,100.955,2022-10-11 10:13:00,2022-10-11 10:13:04,2022-10-11 10:13:00,101.175,101.645,100.92,0.01999999999999602,-0.005000000000009663,0.2749999999999915,6799.99999999893
5,2022-10-11 09:50:00,2022-10-11 09:50:00,2022-10-11 09:50:00,101.2,101.665,100.99,2022-10-11 10:27:04,2022-10-11 10:27:00,2022-10-11 10:27:01,101.18,101.64,100.925,0.01999999999999602,-0.025000000000005684,0.2750000000000057,5599.999999999454
6,2022-10-11 09:52:01,2022-10-11 09:52:00,2022-10-11 09:52:00,101.195,101.66,100.965,2022-10-11 10:31:00,2022-10-11 10:31:02,2022-10-11 10:31:00,101.175,101.64,100.915,0.01999999999999602,-0.01999999999999602,0.2799999999999869,5999.999999999658
7,2022-10-11 10:00:00,2022-10-11 10:00:00,2022-10-11 10:00:00,101.195,101.645,100.95,2022-10-11 10:35:00,2022-10-11 10:35:01,2022-10-11 10:35:04,101.165,101.625,100.89,0.029999999999986926,-0.01999999999999602,0.3049999999999926,7299.999999999045
8,2022-10-11 10:01:00,2022-10-11 10:01:00,2022-10-11 10:01:00,101.185,101.635,100.94,2022-10-11 10:36:00,2022-10-11 10:36:00,2022-10-11 10:36:00,101.165,101.625,100.89,0.01999999999999602,-0.010000000000005116,0.2950000000000017,6899.999999999409
9,2022-10-11 10:02:00,2022-10-11 10:02:00,2022-10-11 10:02:00,101.185,101.635,100.94,2022-10-11 10:39:01,2022-10-11 10:39:00,2022-10-11 10:39:01,101.165,101.615,100.87,0.01999999999999602,-0.020000000000010232,0.3149999999999977,6699.999999999022
