,open_tf_time,open_t_time,wind_tf_p,wind_t_p,close_tf_time,close_t_time,unwind_tf_p,unwind_t_p,diff_tf,diff_t,sum
0,2022-10-12 09:40:01,2022-10-12 09:40:00,-101.57,100.84,2022-10-12 10:31:00,2022-10-12 10:31:00,101.595,-100.88,-0.025000000000005684,0.03999999999999204,0.014999999999986358
1,2022-10-12 09:43:02,2022-10-12 09:43:00,101.585,-100.88,2022-10-12 10:31:00,2022-10-12 10:31:00,-101.6,100.875,0.015000000000000568,0.0049999999999954525,0.01999999999999602
2,2022-10-12 09:44:00,2022-10-12 09:44:00,101.585,-100.88,2022-10-12 10:31:00,2022-10-12 10:31:00,-101.6,100.875,0.015000000000000568,0.0049999999999954525,0.01999999999999602
3,2022-10-12 09:45:00,2022-10-12 09:45:00,101.59,-100.885,2022-10-12 10:31:00,2022-10-12 10:31:00,-101.6,100.875,0.009999999999990905,0.010000000000005116,0.01999999999999602
4,2022-10-12 09:46:00,2022-10-12 09:46:02,101.59,-100.89,2022-10-12 10:31:00,2022-10-12 10:31:00,-101.6,100.875,0.009999999999990905,0.015000000000000568,0.024999999999991473
5,2022-10-12 09:47:00,2022-10-12 09:47:00,101.59,-100.885,2022-10-12 10:31:00,2022-10-12 10:31:00,-101.6,100.875,0.009999999999990905,0.010000000000005116,0.01999999999999602
6,2022-10-12 09:48:01,2022-10-12 09:48:00,101.585,-100.88,2022-10-12 10:31:00,2022-10-12 10:31:00,-101.6,100.875,0.015000000000000568,0.0049999999999954525,0.01999999999999602
7,2022-10-12 09:49:00,2022-10-12 09:49:00,101.585,-100.88,2022-10-12 10:31:00,2022-10-12 10:31:00,-101.6,100.875,0.015000000000000568,0.0049999999999954525,0.01999999999999602
8,2022-10-12 09:50:00,2022-10-12 09:50:00,101.58,-100.87,2022-10-12 10:31:00,2022-10-12 10:31:00,-101.6,100.875,0.01999999999999602,-0.0049999999999954525,0.015000000000000568
9,2022-10-12 09:51:02,2022-10-12 09:51:02,101.585,-100.88,2022-10-12 10:31:00,2022-10-12 10:31:00,-101.6,100.875,0.015000000000000568,0.0049999999999954525,0.01999999999999602
10,2022-10-12 09:55:00,2022-10-12 09:55:00,101.595,-100.895,2022-10-12 10:31:00,2022-10-12 10:31:00,-101.6,100.875,0.0049999999999954525,0.01999999999999602,0.024999999999991473
11,2022-10-12 09:56:00,2022-10-12 09:56:00,101.6,-100.905,2022-10-12 10:31:00,2022-10-12 10:31:00,-101.6,100.875,0.0,0.030000000000001137,0.030000000000001137
12,2022-10-12 09:57:00,2022-10-12 09:57:00,101.605,-100.905,2022-10-12 10:31:00,2022-10-12 10:31:00,-101.6,100.875,-0.005000000000009663,0.030000000000001137,0.024999999999991473
13,2022-10-12 09:58:00,2022-10-12 09:58:00,101.61,-100.915,2022-10-12 10:31:00,2022-10-12 10:31:00,-101.6,100.875,-0.010000000000005116,0.04000000000000625,0.030000000000001137
14,2022-10-12 09:59:00,2022-10-12 09:59:00,101.6,-100.905,2022-10-12 10:31:00,2022-10-12 10:31:00,-101.6,100.875,0.0,0.030000000000001137,0.030000000000001137
15,2022-10-12 10:00:00,2022-10-12 10:00:00,101.6,-100.9,2022-10-12 10:31:00,2022-10-12 10:31:00,-101.6,100.875,0.0,0.025000000000005684,0.025000000000005684
16,2022-10-12 10:08:00,2022-10-12 10:08:01,-101.6,100.885,2022-10-12 10:31:00,2022-10-12 10:31:00,101.595,-100.88,0.0049999999999954525,-0.005000000000009663,-1.4210854715202004e-14
17,2022-10-12 10:09:05,2022-10-12 10:09:04,-101.6,100.88,2022-10-12 10:31:00,2022-10-12 10:31:00,101.595,-100.88,0.0049999999999954525,0.0,0.0049999999999954525
18,2022-10-12 10:11:00,2022-10-12 10:11:00,-101.605,100.885,2022-10-12 10:31:00,2022-10-12 10:31:00,101.595,-100.88,0.010000000000005116,-0.005000000000009663,0.0049999999999954525
19,2022-10-12 10:12:03,2022-10-12 10:12:00,-101.605,100.885,2022-10-12 10:31:00,2022-10-12 10:31:00,101.595,-100.88,0.010000000000005116,-0.005000000000009663,0.0049999999999954525
20,2022-10-12 10:13:02,2022-10-12 10:13:01,-101.605,100.89,2022-10-12 10:31:00,2022-10-12 10:31:00,101.595,-100.88,0.010000000000005116,-0.010000000000005116,0.0
21,2022-10-12 10:14:02,2022-10-12 10:14:03,-101.605,100.885,2022-10-12 10:31:00,2022-10-12 10:31:00,101.595,-100.88,0.010000000000005116,-0.005000000000009663,0.0049999999999954525
22,2022-10-12 10:15:01,2022-10-12 10:15:00,-101.6,100.88,2022-10-12 10:31:00,2022-10-12 10:31:00,101.595,-100.88,0.0049999999999954525,0.0,0.0049999999999954525
23,2022-10-12 10:16:04,2022-10-12 10:16:02,-101.61,100.89,2022-10-12 10:31:00,2022-10-12 10:31:00,101.595,-100.88,0.015000000000000568,-0.010000000000005116,0.0049999999999954525
24,2022-10-12 10:18:00,2022-10-12 10:18:00,-101.605,100.88,2022-10-12 10:31:00,2022-10-12 10:31:00,101.595,-100.88,0.010000000000005116,0.0,0.010000000000005116
25,2022-10-12 10:19:00,2022-10-12 10:19:00,-101.605,100.88,2022-10-12 10:31:00,2022-10-12 10:31:00,101.595,-100.88,0.010000000000005116,0.0,0.010000000000005116
26,2022-10-12 10:20:01,2022-10-12 10:20:02,-101.6,100.87,2022-10-12 10:31:00,2022-10-12 10:31:00,101.595,-100.88,0.0049999999999954525,0.009999999999990905,0.014999999999986358
27,2022-10-12 10:21:01,2022-10-12 10:21:01,-101.595,100.865,2022-10-12 10:31:00,2022-10-12 10:31:00,101.595,-100.88,0.0,0.015000000000000568,0.015000000000000568
28,2022-10-12 10:22:00,2022-10-12 10:22:01,-101.595,100.865,2022-10-12 10:31:00,2022-10-12 10:31:00,101.595,-100.88,0.0,0.015000000000000568,0.015000000000000568
29,2022-10-12 10:23:04,2022-10-12 10:23:00,-101.595,100.865,2022-10-12 10:31:00,2022-10-12 10:31:00,101.595,-100.88,0.0,0.015000000000000568,0.015000000000000568
30,2022-10-12 10:24:00,2022-10-12 10:24:01,-101.6,100.865,2022-10-12 10:31:00,2022-10-12 10:31:00,101.595,-100.88,0.0049999999999954525,0.015000000000000568,0.01999999999999602
31,2022-10-12 10:25:04,2022-10-12 10:25:00,-101.6,100.87,2022-10-12 10:31:00,2022-10-12 10:31:00,101.595,-100.88,0.0049999999999954525,0.009999999999990905,0.014999999999986358
32,2022-10-12 10:26:00,2022-10-12 10:26:00,-101.595,100.86,2022-10-12 10:31:00,2022-10-12 10:31:00,101.595,-100.88,0.0,0.01999999999999602,0.01999999999999602
33,2022-10-12 10:28:00,2022-10-12 10:28:05,-101.59,100.86,2022-10-12 10:31:00,2022-10-12 10:31:00,101.595,-100.88,-0.0049999999999954525,0.01999999999999602,0.015000000000000568
34,2022-10-12 10:29:00,2022-10-12 10:29:00,-101.59,100.86,2022-10-12 10:31:00,2022-10-12 10:31:00,101.595,-100.88,-0.0049999999999954525,0.01999999999999602,0.015000000000000568
35,2022-10-12 10:33:00,2022-10-12 10:33:00,101.59,-100.875,2022-10-12 10:59:00,2022-10-12 10:59:01,-101.615,100.895,0.024999999999991473,-0.01999999999999602,0.0049999999999954525
36,2022-10-12 10:34:01,2022-10-12 10:34:00,101.595,-100.8825,2022-10-12 10:59:00,2022-10-12 10:59:01,-101.615,100.895,0.01999999999999602,-0.012500000000002842,0.007499999999993179
37,2022-10-12 10:35:00,2022-10-12 10:35:00,101.6,-100.88,2022-10-12 10:59:00,2022-10-12 10:59:01,-101.615,100.895,0.015000000000000568,-0.015000000000000568,0.0
38,2022-10-12 10:36:06,2022-10-12 10:36:03,101.6,-100.88,2022-10-12 10:59:00,2022-10-12 10:59:01,-101.615,100.895,0.015000000000000568,-0.015000000000000568,0.0
39,2022-10-12 10:37:01,2022-10-12 10:37:00,101.6,-100.885,2022-10-12 10:59:00,2022-10-12 10:59:01,-101.615,100.895,0.015000000000000568,-0.009999999999990905,0.005000000000009663
40,2022-10-12 10:38:00,2022-10-12 10:38:01,101.605,-100.89,2022-10-12 10:59:00,2022-10-12 10:59:01,-101.615,100.895,0.009999999999990905,-0.0049999999999954525,0.0049999999999954525
41,2022-10-12 10:39:00,2022-10-12 10:39:03,101.605,-100.89,2022-10-12 10:59:00,2022-10-12 10:59:01,-101.615,100.895,0.009999999999990905,-0.0049999999999954525,0.0049999999999954525
42,2022-10-12 10:40:00,2022-10-12 10:40:00,101.61,-100.9,2022-10-12 10:59:00,2022-10-12 10:59:01,-101.615,100.895,0.0049999999999954525,0.005000000000009663,0.010000000000005116
43,2022-10-12 10:41:04,2022-10-12 10:41:00,101.61,-100.9,2022-10-12 10:59:00,2022-10-12 10:59:01,-101.615,100.895,0.0049999999999954525,0.005000000000009663,0.010000000000005116
44,2022-10-12 10:42:00,2022-10-12 10:42:02,101.61,-100.9,2022-10-12 10:59:00,2022-10-12 10:59:01,-101.615,100.895,0.0049999999999954525,0.005000000000009663,0.010000000000005116
45,2022-10-12 10:43:00,2022-10-12 10:43:01,101.605,-100.895,2022-10-12 10:59:00,2022-10-12 10:59:01,-101.615,100.895,0.009999999999990905,0.0,0.009999999999990905
46,2022-10-12 10:44:01,2022-10-12 10:44:00,101.605,-100.895,2022-10-12 10:59:00,2022-10-12 10:59:01,-101.615,100.895,0.009999999999990905,0.0,0.009999999999990905
47,2022-10-12 10:45:00,2022-10-12 10:45:00,101.605,-100.895,2022-10-12 10:59:00,2022-10-12 10:59:01,-101.615,100.895,0.009999999999990905,0.0,0.009999999999990905
48,2022-10-12 10:46:02,2022-10-12 10:46:00,101.605,-100.9,2022-10-12 10:59:00,2022-10-12 10:59:01,-101.615,100.895,0.009999999999990905,0.005000000000009663,0.015000000000000568
49,2022-10-12 10:47:00,2022-10-12 10:47:00,101.6,-100.895,2022-10-12 10:59:00,2022-10-12 10:59:01,-101.615,100.895,0.015000000000000568,0.0,0.015000000000000568
50,2022-10-12 10:48:01,2022-10-12 10:48:01,101.6,-100.895,2022-10-12 10:59:00,2022-10-12 10:59:01,-101.615,100.895,0.015000000000000568,0.0,0.015000000000000568
51,2022-10-12 10:49:03,2022-10-12 10:49:03,101.6,-100.89,2022-10-12 10:59:00,2022-10-12 10:59:01,-101.615,100.895,0.015000000000000568,-0.0049999999999954525,0.010000000000005116
52,2022-10-12 10:50:01,2022-10-12 10:50:00,101.6,-100.89,2022-10-12 10:59:00,2022-10-12 10:59:01,-101.615,100.895,0.015000000000000568,-0.0049999999999954525,0.010000000000005116
53,2022-10-12 10:51:01,2022-10-12 10:51:00,101.6,-100.895,2022-10-12 10:59:00,2022-10-12 10:59:01,-101.615,100.895,0.015000000000000568,0.0,0.015000000000000568
54,2022-10-12 10:56:00,2022-10-12 10:56:00,101.62,-100.915,2022-10-12 10:59:00,2022-10-12 10:59:01,-101.615,100.895,-0.005000000000009663,0.020000000000010232,0.015000000000000568
55,2022-10-12 10:57:00,2022-10-12 10:57:00,101.615,-100.91,2022-10-12 10:59:00,2022-10-12 10:59:01,-101.615,100.895,0.0,0.015000000000000568,0.015000000000000568
56,2022-10-12 11:08:13,2022-10-12 11:08:01,-101.605,100.885,2022-10-12 11:11:01,2022-10-12 11:11:00,101.6,-100.9,0.005000000000009663,0.015000000000000568,0.020000000000010232
57,2022-10-12 11:09:04,2022-10-12 11:09:02,-101.605,100.89,2022-10-12 11:11:01,2022-10-12 11:11:00,101.6,-100.9,0.005000000000009663,0.010000000000005116,0.01500000000001478
58,2022-10-12 11:13:00,2022-10-12 11:13:00,101.61,-100.905,2022-10-12 11:17:02,2022-10-12 11:17:00,-101.6,100.885,-0.010000000000005116,0.01999999999999602,0.009999999999990905
59,2022-10-12 11:14:00,2022-10-12 11:14:00,101.6,-100.895,2022-10-12 11:17:02,2022-10-12 11:17:00,-101.6,100.885,0.0,0.009999999999990905,0.009999999999990905
60,2022-10-12 11:15:01,2022-10-12 11:15:01,101.6,-100.895,2022-10-12 11:17:02,2022-10-12 11:17:00,-101.6,100.885,0.0,0.009999999999990905,0.009999999999990905
61,2022-10-12 11:18:00,2022-10-12 11:18:01,-101.6,100.885,2022-10-12 13:06:00,2022-10-12 13:06:00,101.6,-100.89,0.0,0.0049999999999954525,0.0049999999999954525
62,2022-10-12 11:19:09,2022-10-12 11:19:01,-101.6,100.885,2022-10-12 13:06:00,2022-10-12 13:06:00,101.6,-100.89,0.0,0.0049999999999954525,0.0049999999999954525
63,2022-10-12 11:20:09,2022-10-12 11:20:00,-101.6,100.885,2022-10-12 13:06:00,2022-10-12 13:06:00,101.6,-100.89,0.0,0.0049999999999954525,0.0049999999999954525
64,2022-10-12 11:23:03,2022-10-12 11:23:05,101.59,-100.885,2022-10-12 13:06:00,2022-10-12 13:06:00,-101.605,100.885,0.015000000000000568,0.0,0.015000000000000568
65,2022-10-12 11:24:00,2022-10-12 11:24:00,101.59,-100.885,2022-10-12 13:06:00,2022-10-12 13:06:00,-101.605,100.885,0.015000000000000568,0.0,0.015000000000000568
66,2022-10-12 13:02:02,2022-10-12 13:02:00,-101.595,100.875,2022-10-12 13:06:00,2022-10-12 13:06:00,101.6,-100.89,-0.0049999999999954525,0.015000000000000568,0.010000000000005116
67,2022-10-12 13:03:03,2022-10-12 13:03:01,-101.595,100.875,2022-10-12 13:06:00,2022-10-12 13:06:00,101.6,-100.89,-0.0049999999999954525,0.015000000000000568,0.010000000000005116
