,open_ts_time,open_tf_time,open_t_time,wind_ts_p,wind_tf_p,wind_t_p,close_ts_time,close_tf_time,close_t_time,unwind_ts_p,unwind_tf_p,unwind_t_p,diff_ts,diff_tf,diff_t,sum-2-3-1
0,2022-10-14 09:40:00,2022-10-14 09:40:01,2022-10-14 09:40:00,101.175,101.75,101.155,2022-10-14 10:01:02,2022-10-14 10:01:02,2022-10-14 10:01:00,101.195,101.78,101.195,0.01999999999999602,-0.030000000000001137,0.03999999999999204,-200.00000000038654
1,2022-10-14 09:46:03,2022-10-14 09:46:01,2022-10-14 09:46:00,101.18,101.76,101.17,2022-10-14 10:02:01,2022-10-14 10:02:02,2022-10-14 10:02:03,101.2,101.785,101.21,0.01999999999999602,-0.024999999999991473,0.03999999999999204,100.00000000019327
2,2022-10-14 09:47:01,2022-10-14 09:47:00,2022-10-14 09:47:00,101.18,101.775,101.195,2022-10-14 10:03:02,2022-10-14 10:03:00,2022-10-14 10:03:00,101.2,101.785,101.205,0.01999999999999602,-0.009999999999990905,0.010000000000005116,400.00000000048885
3,2022-10-14 09:48:00,2022-10-14 09:48:00,2022-10-14 09:48:00,101.18,101.775,101.19,2022-10-14 10:04:00,2022-10-14 10:04:00,2022-10-14 10:04:00,101.2,101.78,101.2,0.01999999999999602,-0.0049999999999954525,0.010000000000005116,700.000000000216
4,2022-10-14 09:49:05,2022-10-14 09:49:00,2022-10-14 09:49:00,101.18,101.775,101.185,2022-10-14 10:05:00,2022-10-14 10:05:00,2022-10-14 10:05:00,101.2,101.78,101.2,0.01999999999999602,-0.0049999999999954525,0.015000000000000568,800.000000000125
5,2022-10-14 09:50:02,2022-10-14 09:50:00,2022-10-14 09:50:00,101.18,101.775,101.1825,2022-10-14 10:06:08,2022-10-14 10:06:00,2022-10-14 10:06:00,101.2,101.785,101.215,0.01999999999999602,-0.009999999999990905,0.03249999999999886,850.0000000003638
6,2022-10-14 09:51:01,2022-10-14 09:51:00,2022-10-14 09:51:00,101.185,101.78,101.185,2022-10-14 10:07:08,2022-10-14 10:07:00,2022-10-14 10:07:00,101.2,101.78,101.21,0.015000000000000568,0.0,0.024999999999991473,1099.9999999998522
7,2022-10-14 09:53:04,2022-10-14 09:53:00,2022-10-14 09:53:00,101.18,101.775,101.18,2022-10-14 10:08:00,2022-10-14 10:08:00,2022-10-14 10:08:00,101.2,101.78,101.205,0.01999999999999602,-0.0049999999999954525,0.024999999999991473,999.9999999999432
8,2022-10-14 09:58:00,2022-10-14 09:58:01,2022-10-14 09:58:00,101.18,101.775,101.18,2022-10-14 10:09:00,2022-10-14 10:09:00,2022-10-14 10:09:00,101.2,101.78,101.2,0.01999999999999602,-0.0049999999999954525,0.01999999999999602,900.0000000000341
9,2022-10-14 10:00:00,2022-10-14 10:00:00,2022-10-14 10:00:00,101.185,101.78,101.185,2022-10-14 10:10:02,2022-10-14 10:10:00,2022-10-14 10:10:01,101.2,101.78,101.205,0.015000000000000568,0.0,0.01999999999999602,999.9999999999432
10,2022-10-14 10:16:00,2022-10-14 10:16:01,2022-10-14 10:16:00,101.19,101.775,101.185,2022-10-14 10:17:16,2022-10-14 10:17:00,2022-10-14 10:17:00,101.195,101.77,101.19,0.0049999999999954525,0.005000000000009663,0.0049999999999954525,600.000000000307
11,2022-10-14 10:18:01,2022-10-14 10:18:03,2022-10-14 10:18:02,101.195,101.78,101.19,2022-10-14 10:25:12,2022-10-14 10:25:00,2022-10-14 10:25:00,101.205,101.78,101.2,0.010000000000005116,0.0,0.010000000000005116,600.000000000307
12,2022-10-14 10:21:02,2022-10-14 10:21:03,2022-10-14 10:21:02,101.2,101.785,101.195,2022-10-14 10:26:00,2022-10-14 10:26:00,2022-10-14 10:26:00,101.205,101.775,101.195,0.0049999999999954525,0.009999999999990905,0.0,799.9999999992724
13,2022-10-14 10:22:16,2022-10-14 10:22:00,2022-10-14 10:22:01,101.2,101.785,101.195,2022-10-14 10:27:14,2022-10-14 10:27:06,2022-10-14 10:27:01,101.205,101.78,101.2,0.0049999999999954525,0.0049999999999954525,0.005000000000009663,599.9999999997385
14,2022-10-14 10:23:00,2022-10-14 10:23:01,2022-10-14 10:23:00,101.2,101.785,101.195,2022-10-14 10:28:01,2022-10-14 10:28:00,2022-10-14 10:28:00,101.21,101.79,101.2225,0.009999999999990905,-0.005000000000009663,0.02750000000000341,649.9999999991246
15,2022-10-14 10:33:00,2022-10-14 10:33:00,2022-10-14 10:33:00,101.205,101.805,101.225,2022-10-14 10:38:02,2022-10-14 10:38:00,2022-10-14 10:38:02,101.215,101.805,101.24,0.010000000000005116,0.0,0.015000000000000568,700.000000000216
16,2022-10-14 10:35:02,2022-10-14 10:35:00,2022-10-14 10:35:00,101.205,101.8,101.215,2022-10-14 10:39:01,2022-10-14 10:39:01,2022-10-14 10:39:00,101.215,101.805,101.24,0.010000000000005116,-0.005000000000009663,0.024999999999991473,599.9999999994543
17,2022-10-14 10:36:02,2022-10-14 10:36:00,2022-10-14 10:36:00,101.205,101.805,101.22,2022-10-14 10:40:00,2022-10-14 10:40:00,2022-10-14 10:40:02,101.215,101.81,101.245,0.010000000000005116,-0.0049999999999954525,0.025000000000005684,600.0000000005912
18,2022-10-14 10:54:00,2022-10-14 10:54:01,2022-10-14 10:54:03,101.2,101.795,101.23,2022-10-14 11:04:00,2022-10-14 11:04:00,2022-10-14 11:04:01,101.21,101.8,101.24,0.009999999999990905,-0.0049999999999954525,0.009999999999990905,299.99999999972715
19,2022-10-14 10:57:06,2022-10-14 10:57:02,2022-10-14 10:57:01,101.195,101.795,101.225,2022-10-14 11:05:18,2022-10-14 11:05:00,2022-10-14 11:05:00,101.21,101.795,101.24,0.015000000000000568,0.0,0.015000000000000568,900.0000000000341
20,2022-10-14 10:58:06,2022-10-14 10:58:00,2022-10-14 10:58:00,101.2,101.795,101.225,2022-10-14 11:06:48,2022-10-14 11:06:08,2022-10-14 11:06:00,101.21,101.8,101.24,0.009999999999990905,-0.0049999999999954525,0.015000000000000568,399.9999999999204
21,2022-10-14 10:59:01,2022-10-14 10:59:00,2022-10-14 10:59:00,101.2,101.8,101.23,2022-10-14 11:07:30,2022-10-14 11:07:06,2022-10-14 11:07:00,101.21,101.8,101.245,0.009999999999990905,0.0,0.015000000000000568,699.9999999996476
22,2022-10-14 11:00:08,2022-10-14 11:00:00,2022-10-14 11:00:00,101.2,101.80250000000001,101.23,2022-10-14 11:08:03,2022-10-14 11:08:03,2022-10-14 11:08:01,101.21,101.8,101.245,0.009999999999990905,0.002500000000011937,0.015000000000000568,850.0000000003638
23,2022-10-14 11:01:03,2022-10-14 11:01:01,2022-10-14 11:01:01,101.205,101.805,101.23,2022-10-14 11:11:02,2022-10-14 11:11:03,2022-10-14 11:11:03,101.205,101.79,101.235,0.0,0.015000000000000568,0.0049999999999954525,999.9999999999432
24,2022-10-14 11:02:08,2022-10-14 11:02:00,2022-10-14 11:02:02,101.205,101.81,101.235,2022-10-14 11:12:27,2022-10-14 11:12:00,2022-10-14 11:12:00,101.205,101.79,101.235,0.0,0.01999999999999602,0.0,1199.9999999997613
25,2022-10-14 13:06:05,2022-10-14 13:06:00,2022-10-14 13:06:02,101.205,101.805,101.245,2022-10-14 13:11:27,2022-10-14 13:11:00,2022-10-14 13:11:00,101.21,101.79,101.245,0.0049999999999954525,0.015000000000000568,0.0,1099.9999999998522
26,2022-10-14 13:36:01,2022-10-14 13:36:06,2022-10-14 13:36:00,101.19,101.76,101.205,2022-10-14 13:42:02,2022-10-14 13:42:02,2022-10-14 13:42:00,101.195,101.75,101.19,0.0049999999999954525,0.010000000000005116,-0.015000000000000568,500.0000000001137
27,2022-10-14 13:37:17,2022-10-14 13:37:00,2022-10-14 13:37:00,101.19,101.76,101.205,2022-10-14 13:44:00,2022-10-14 13:44:00,2022-10-14 13:44:00,101.2,101.755,101.2,0.010000000000005116,0.005000000000009663,-0.0049999999999954525,600.0000000008754
