,time,last,ask,bid,volume,amt,ask1,bid1,asize1,bsize1,ts_date,ts_lag
0,2022-10-14 09:30:00.100,101.16,101.16,101.155,70,70806200,,,10,1,2022-10-14 09:30:00.100,0
1,2022-10-14 09:30:00.600,101.15,101.155,101.15,124,125430600,,,2,9,2022-10-14 09:30:00.600,0
2,2022-10-14 09:30:01.100,101.15,101.15,101.145,137,138580100,,,3,23,2022-10-14 09:30:01.100,0
3,2022-10-14 09:30:01.600,101.15,101.155,101.145,169,170947850,,,17,4,2022-10-14 09:30:01.600,0
4,2022-10-14 09:30:02.100,101.145,101.15,101.145,175,177016600,,,6,1,2022-10-14 09:30:02.100,0
5,2022-10-14 09:30:02.600,101.145,101.15,101.145,178,180051000,,,13,10,2022-10-14 09:30:02.600,0
6,2022-10-14 09:30:03.100,101.15,101.15,101.145,196,198257500,,,13,4,2022-10-14 09:30:03.100,0
7,2022-10-14 09:30:03.600,101.145,101.15,101.145,215,217474850,,,13,1,2022-10-14 09:30:03.600,0
8,2022-10-14 09:30:04.100,101.145,101.145,101.14,218,220509200,,,4,124,2022-10-14 09:30:04.100,0
9,2022-10-14 09:30:04.600,101.145,101.145,101.14,228,230623500,,,1,110,2022-10-14 09:30:04.600,0
10,2022-10-14 09:30:05.100,101.14,101.14,101.135,357,361094100,,,5,13,2022-10-14 09:30:05.100,0
11,2022-10-14 09:30:05.600,101.14,101.14,101.13,389,393457100,,,21,26,2022-10-14 09:30:05.600,0
12,2022-10-14 09:30:06.100,101.14,101.135,101.13,394,398514100,,,4,20,2022-10-14 09:30:06.100,0
13,2022-10-14 09:30:06.600,101.13,101.135,101.13,415,419752200,,,1,15,2022-10-14 09:30:06.600,0
14,2022-10-14 09:30:07.100,101.14,101.14,101.13,440,445036250,,,12,9,2022-10-14 09:30:07.100,0
15,2022-10-14 09:30:07.600,101.14,101.14,101.135,442,447059050,,,11,5,2022-10-14 09:30:07.600,0
16,2022-10-14 09:30:08.100,101.13,101.13,101.125,469,474364450,,,15,35,2022-10-14 09:30:08.100,0
