,time,last,ask,bid,volume,amt,ask1,bid1,asize1,bsize1,ts_date,ts_lag
0,2022-10-14 09:30:00.100,101.73,101.74,101.735,82,83418600,,,1,14,2022-10-14 09:30:00.100,0
1,2022-10-14 09:30:00.600,101.74,101.74,101.735,93,94609450,,,1,9,2022-10-14 09:30:00.600,0
2,2022-10-14 09:30:01.100,101.74,101.745,101.74,103,104783700,,,18,3,2022-10-14 09:30:01.100,0
3,2022-10-14 09:30:01.600,101.735,101.74,101.735,132,134288100,,,5,23,2022-10-14 09:30:01.600,0
4,2022-10-14 09:30:02.100,101.74,101.74,101.735,139,141409700,,,8,4,2022-10-14 09:30:02.100,0
5,2022-10-14 09:30:02.600,101.74,101.735,101.73,149,151583300,,,1,54,2022-10-14 09:30:02.600,0
6,2022-10-14 09:30:03.100,101.74,101.74,101.735,151,153618000,,,23,3,2022-10-14 09:30:03.100,0
7,2022-10-14 09:30:03.600,101.73,101.735,101.73,164,166843050,,,2,53,2022-10-14 09:30:03.600,0
8,2022-10-14 09:30:04.100,101.735,101.735,101.73,167,169895100,,,7,38,2022-10-14 09:30:04.100,0
9,2022-10-14 09:30:04.600,101.73,101.735,101.73,170,172947000,,,11,35,2022-10-14 09:30:04.600,0
10,2022-10-14 09:30:05.100,101.735,101.735,101.73,200,203466150,,,10,4,2022-10-14 09:30:05.100,0
11,2022-10-14 09:30:05.600,101.73,101.73,101.725,207,210587150,,,6,18,2022-10-14 09:30:05.600,0
12,2022-10-14 09:30:06.100,101.725,101.725,101.72,215,218725050,,,2,18,2022-10-14 09:30:06.100,0
13,2022-10-14 09:30:06.600,101.725,101.73,101.725,221,224828550,,,24,16,2022-10-14 09:30:06.600,0
14,2022-10-14 09:30:07.100,101.73,101.73,101.725,228,231949350,,,7,12,2022-10-14 09:30:07.100,0
15,2022-10-14 09:30:07.600,101.725,101.73,101.725,238,242122150,,,1,9,2022-10-14 09:30:07.600,0
16,2022-10-14 09:30:08.100,101.73,101.73,101.725,241,245174050,,,1,18,2022-10-14 09:30:08.100,0
17,2022-10-14 09:30:08.600,101.73,101.73,101.725,241,245174050,,,19,23,2022-10-14 09:30:08.600,0
18,2022-10-14 09:30:09.100,101.73,101.73,101.725,241,245174050,,,17,24,2022-10-14 09:30:09.100,0
19,2022-10-14 09:30:09.600,101.725,101.73,101.725,248,252295100,,,11,23,2022-10-14 09:30:09.600,0
20,2022-10-14 09:30:10.100,101.73,101.73,101.725,254,258398900,,,7,23,2022-10-14 09:30:10.100,0
21,2022-10-14 09:30:10.600,101.725,101.73,101.725,256,260433450,,,6,22,2022-10-14 09:30:10.600,0
22,2022-10-14 09:30:11.100,101.725,101.73,101.725,258,262467950,,,13,20,2022-10-14 09:30:11.100,0
